sample,n_B,n_cells_region,x,y,niche_overlap_frac,f_Treg-like,f_eff-CD8,f_mregDC-like,f_Plasma,bg_Treg-like,bg_eff-CD8,bg_mregDC-like,bg_Plasma
1004,206,731,3402.271176236347,2575.6873838554307,0.0,0.0356,0.0315,0.0,0.0,0.0104,0.0076,0.0,0.0015
1004,22,142,3377.3291459517045,3121.5509144176135,0.0,0.007,0.0282,0.0,0.0,0.0104,0.0076,0.0,0.0015
1004,20,206,5608.010473632812,2627.537707519531,0.0,0.068,0.0437,0.0,0.0,0.0104,0.0076,0.0,0.0015
1004,21,140,3376.3848702566966,2405.354538690476,0.0,0.0071,0.0071,0.0,0.0,0.0104,0.0076,0.0,0.0015
1005,50,339,2411.5929931640626,3767.3970068359376,0.0,0.0472,0.0236,0.0,0.0,0.0109,0.0033,0.0,0.0181
1006,604,1136,6038.453863889176,6046.851992575538,0.504,0.0141,0.0229,0.0,0.0167,0.008,0.0096,0.0,0.004
1006,226,679,5689.980015037334,5877.129586818999,0.219,0.0103,0.0442,0.0,0.0103,0.008,0.0096,0.0,0.004
1006,77,234,6406.607548701299,6326.197284648945,0.017,0.0128,0.0128,0.0,0.0085,0.008,0.0096,0.0,0.004
1006,39,234,3253.9657138922275,7536.5177659254805,0.0,0.0128,0.0085,0.0,0.0085,0.008,0.0096,0.0,0.004
1007,56,333,4806.394949776785,858.5046136038644,0.0,0.024,0.018,0.0,0.009,0.0061,0.0101,0.0,0.0095
1007,54,302,6842.663113064236,877.4330353913484,0.0,0.0166,0.0894,0.0,0.0199,0.0061,0.0101,0.0,0.0095
1007,96,474,6748.66325378418,646.0592645009359,0.0,0.0211,0.0506,0.0,0.0063,0.0061,0.0101,0.0,0.0095
1007,307,674,3889.24654942615,720.2202090782141,0.402,0.0208,0.0371,0.0,0.0089,0.0061,0.0101,0.0,0.0095
1007,24,224,2044.4771575927734,3317.7788696289062,0.0,0.0134,0.0268,0.0,0.0,0.0061,0.0101,0.0,0.0095
1007,25,241,1288.200546875,3096.009052734375,0.0,0.0332,0.0498,0.0,0.0124,0.0061,0.0101,0.0,0.0095
1007,24,285,4810.9608154296875,719.8477427164713,0.0,0.0351,0.0421,0.0,0.0,0.0061,0.0101,0.0,0.0095
1007,31,304,4917.537424395161,750.7708484280494,0.0,0.0066,0.0197,0.0,0.0066,0.0061,0.0101,0.0,0.0095
1007,27,218,6922.697645399306,1080.6011782045719,0.0,0.0826,0.0872,0.0,0.0138,0.0061,0.0101,0.0,0.0095
1008,49,343,3893.652303890306,371.22586121851083,0.0,0.0612,0.0146,0.0,0.0058,0.0029,0.0022,0.0,0.0019
1008,75,575,3675.342252604167,466.25413818359374,0.0,0.0435,0.0209,0.0,0.0017,0.0029,0.0022,0.0,0.0019
1009,124,617,2020.9453922394782,729.3876761159589,0.0,0.0113,0.0097,0.0,0.0162,0.0058,0.0033,0.0,0.0044
1009,205,612,2804.9551388624236,2206.032452839177,0.085,0.0229,0.0065,0.0,0.0016,0.0058,0.0033,0.0,0.0044
1009,21,106,1647.1476469494048,1836.8936476934523,0.0,0.0,0.0094,0.0,0.0,0.0058,0.0033,0.0,0.0044
1012,77,266,6738.081390777192,7898.945027140828,0.0,0.0038,0.0038,0.0,0.0188,0.007,0.0127,0.0,0.0076
1013,28,186,4874.991420200893,2066.446999686105,0.0,0.0645,0.043,0.0,0.0,0.0134,0.0118,0.0001,0.0051
HK2695,1747,3639,7827.4023208312465,6422.34426343598,0.415,0.0286,0.0113,0.0003,0.0093,0.005,0.0056,0.0,0.0052
HK2695,54,417,7283.626247829861,7642.376293041088,0.0,0.0336,0.0168,0.0,0.024,0.005,0.0056,0.0,0.0052
HK2695,31,218,7030.305884576613,6398.518901209677,0.0,0.0138,0.0229,0.0,0.0138,0.005,0.0056,0.0,0.0052
HK2695,20,250,7586.52119140625,6035.4798828125,0.0,0.012,0.036,0.0,0.036,0.005,0.0056,0.0,0.0052
HK3626,33,194,95.22521718343098,1242.5381525213068,0.0,0.0155,0.0412,0.0,0.0,0.0008,0.0016,0.0,0.0002
HK3626,147,566,5704.470958891369,584.007983356917,0.0,0.0141,0.0141,0.0,0.0035,0.0008,0.0016,0.0,0.0002
HK3626,187,481,3655.674373851103,854.594897591494,0.252,0.0166,0.0208,0.0,0.0104,0.0008,0.0016,0.0,0.0002
