sample,ring,state,n_cells,log2_enrich
1004,core 0-50,Treg-like,99,2.276
1004,core 0-50,eff-CD8,99,3.409
1004,margin 50-100,Treg-like,260,2.146
1004,margin 50-100,eff-CD8,260,2.016
1004,outer 100-150,Treg-like,269,1.319
1004,outer 100-150,eff-CD8,269,1.552
1004,core 0-50,Treg-like,84,0.191
1004,core 0-50,eff-CD8,84,1.646
1004,margin 50-100,Treg-like,125,-0.383
1004,margin 50-100,eff-CD8,125,1.072
1004,outer 100-150,Treg-like,234,1.035
1004,outer 100-150,eff-CD8,234,-12.893
1004,core 0-50,Treg-like,88,2.709
1004,core 0-50,eff-CD8,88,2.901
1004,margin 50-100,Treg-like,170,2.496
1004,margin 50-100,eff-CD8,170,2.799
1004,outer 100-150,Treg-like,192,0.583
1004,outer 100-150,eff-CD8,192,0.453
1004,core 0-50,Treg-like,76,0.335
1004,core 0-50,eff-CD8,76,-12.893
1004,margin 50-100,Treg-like,114,-0.25
1004,margin 50-100,eff-CD8,114,0.205
1004,outer 100-150,Treg-like,144,1.998
1004,outer 100-150,eff-CD8,144,1.453
1005,core 0-50,Treg-like,127,2.119
1005,core 0-50,eff-CD8,127,3.235
1005,margin 50-100,Treg-like,165,2.327
1005,margin 50-100,eff-CD8,165,2.857
1005,outer 100-150,Treg-like,189,0.961
1005,outer 100-150,eff-CD8,189,-11.708
1006,core 0-50,Treg-like,175,-0.486
1006,core 0-50,eff-CD8,175,-13.236
1006,margin 50-100,Treg-like,314,0.256
1006,margin 50-100,eff-CD8,314,0.723
1006,outer 100-150,Treg-like,284,1.4
1006,outer 100-150,eff-CD8,284,1.716
1006,core 0-50,Treg-like,132,-0.079
1006,core 0-50,eff-CD8,132,2.459
1006,margin 50-100,Treg-like,226,-12.966
1006,margin 50-100,eff-CD8,226,1.875
1006,outer 100-150,Treg-like,162,-0.375
1006,outer 100-150,eff-CD8,162,2.163
1006,core 0-50,Treg-like,62,1.011
1006,core 0-50,eff-CD8,62,0.741
1006,margin 50-100,Treg-like,97,1.95
1006,margin 50-100,eff-CD8,97,1.096
1006,outer 100-150,Treg-like,75,-12.966
1006,outer 100-150,eff-CD8,75,-13.236
1006,core 0-50,Treg-like,85,1.556
1006,core 0-50,eff-CD8,85,-13.236
1006,margin 50-100,Treg-like,118,0.083
1006,margin 50-100,eff-CD8,118,0.813
1006,outer 100-150,Treg-like,162,0.625
1006,outer 100-150,eff-CD8,162,-0.644
1007,core 0-50,Treg-like,89,0.871
1007,core 0-50,eff-CD8,89,1.733
1007,margin 50-100,Treg-like,179,2.184
1007,margin 50-100,eff-CD8,179,0.14
1007,outer 100-150,Treg-like,271,2.071
1007,outer 100-150,eff-CD8,271,0.864
1007,core 0-50,Treg-like,90,2.439
1007,core 0-50,eff-CD8,90,3.592
1007,margin 50-100,Treg-like,176,0.887
1007,margin 50-100,eff-CD8,176,2.75
1007,outer 100-150,Treg-like,207,2.975
1007,outer 100-150,eff-CD8,207,1.931
1007,core 0-50,Treg-like,99,2.302
1007,core 0-50,eff-CD8,99,2.58
1007,margin 50-100,Treg-like,187,1.384
1007,margin 50-100,eff-CD8,187,2.247
1007,outer 100-150,Treg-like,223,1.867
1007,outer 100-150,eff-CD8,223,1.823
1007,core 0-50,Treg-like,143,-12.585
1007,core 0-50,eff-CD8,143,-13.307
1007,margin 50-100,Treg-like,308,1.401
1007,margin 50-100,eff-CD8,308,2.165
1007,outer 100-150,Treg-like,181,2.654
1007,outer 100-150,eff-CD8,181,2.294
1007,core 0-50,Treg-like,98,1.732
1007,core 0-50,eff-CD8,98,2.009
1007,margin 50-100,Treg-like,169,-0.054
1007,margin 50-100,eff-CD8,169,0.223
1007,outer 100-150,Treg-like,211,0.625
1007,outer 100-150,eff-CD8,211,0.488
1007,core 0-50,Treg-like,92,2.823
1007,core 0-50,eff-CD8,92,2.423
1007,margin 50-100,Treg-like,160,1.609
1007,margin 50-100,eff-CD8,160,1.887
1007,outer 100-150,Treg-like,203,-0.319
1007,outer 100-150,eff-CD8,203,0.959
1007,core 0-50,Treg-like,102,2.259
1007,core 0-50,eff-CD8,102,2.274
1007,margin 50-100,Treg-like,241,2.603
1007,margin 50-100,eff-CD8,241,1.519
1007,outer 100-150,Treg-like,349,-1.1
1007,outer 100-150,eff-CD8,349,0.985
1007,core 0-50,Treg-like,89,-12.585
1007,core 0-50,eff-CD8,89,2.148
1007,margin 50-100,Treg-like,184,-12.585
1007,margin 50-100,eff-CD8,184,-0.899
1007,outer 100-150,Treg-like,344,1.92
1007,outer 100-150,eff-CD8,344,1.52
1007,core 0-50,Treg-like,75,3.117
1007,core 0-50,eff-CD8,75,3.203
1007,margin 50-100,Treg-like,170,4.024
1007,margin 50-100,eff-CD8,170,3.022
1007,outer 100-150,Treg-like,192,2.931
1007,outer 100-150,eff-CD8,192,2.946
1008,core 0-50,Treg-like,78,3.161
1008,core 0-50,eff-CD8,78,2.552
1008,margin 50-100,Treg-like,176,4.894
1008,margin 50-100,eff-CD8,176,3.378
1008,outer 100-150,Treg-like,285,3.876
1008,outer 100-150,eff-CD8,285,2.267
1008,core 0-50,Treg-like,106,3.303
1008,core 0-50,eff-CD8,106,2.109
1008,margin 50-100,Treg-like,227,3.205
1008,margin 50-100,eff-CD8,227,4.011
1008,outer 100-150,Treg-like,308,4.349
1008,outer 100-150,eff-CD8,308,2.571
1009,core 0-50,Treg-like,85,-12.503
1009,core 0-50,eff-CD8,85,1.814
1009,margin 50-100,Treg-like,173,1.994
1009,margin 50-100,eff-CD8,173,1.789
1009,outer 100-150,Treg-like,237,1.125
1009,outer 100-150,eff-CD8,237,2.335
1009,core 0-50,Treg-like,148,1.804
1009,core 0-50,eff-CD8,148,2.014
1009,margin 50-100,Treg-like,274,2.653
1009,margin 50-100,eff-CD8,274,0.126
1009,outer 100-150,Treg-like,229,-0.41
1009,outer 100-150,eff-CD8,229,0.385
1009,core 0-50,Treg-like,60,-12.503
1009,core 0-50,eff-CD8,60,2.317
1009,margin 50-100,Treg-like,68,1.341
1009,margin 50-100,eff-CD8,68,-11.708
1009,outer 100-150,Treg-like,87,-12.503
1009,outer 100-150,eff-CD8,87,-11.708
1012,core 0-50,Treg-like,66,-12.78
1012,core 0-50,eff-CD8,66,-13.634
1012,margin 50-100,Treg-like,115,0.306
1012,margin 50-100,eff-CD8,115,-13.634
1012,outer 100-150,Treg-like,77,-12.78
1012,outer 100-150,eff-CD8,77,-13.634
1013,core 0-50,Treg-like,73,2.616
1013,core 0-50,eff-CD8,73,2.535
1013,margin 50-100,Treg-like,113,1.985
1013,margin 50-100,eff-CD8,113,1.583
1013,outer 100-150,Treg-like,159,1.715
1013,outer 100-150,eff-CD8,159,1.09
HK2695,core 0-50,Treg-like,190,1.652
HK2695,core 0-50,eff-CD8,190,-12.448
