sample,cell_type,n_in,total_in,frac_in,log2_enrich
1071,B,75,86,0.8721,7.512982898218709
1071,Plasma,1,86,0.0116,2.016723992165517
1071,Macro,2,86,0.0233,-0.44816988982640654
HK2695,B,161,215,0.7488,5.984532903399613
HK2695,Plasma,2,215,0.0093,1.181167294130722
HK2695,Macro,4,215,0.0186,-0.6970483371836593
HK2841,B,51,62,0.8226,7.788272204344861
HK2841,Plasma,0,62,0.0,4.103709481403135
HK2841,Macro,0,62,0.0,-1.8522372174966184
HK3614,B,36,49,0.7347,7.842291582986403
HK3614,Plasma,0,49,0.0,3.5754561232795483
HK3614,Macro,4,49,0.0816,2.1586342143225212
HK3631,B,151,217,0.6959,5.278566945542707
HK3631,Plasma,2,217,0.0092,4.496130778207678
HK3631,Macro,1,217,0.0046,-2.70335190678145
