sample,cell_type,n_in,n_out,total_in,total_out,log2_enrich
1006,CD4+,44,1630,725,44884,0.75475474182293
1006,CD8+,30,1802,725,44884,0.06507383003969935
1006,Plasma,8,174,725,44884,1.590499651645685
1006,Macro,31,5117,725,44884,-1.3938235218058588
1006,NK,1,126,725,44884,-0.44791103736815613
1006,DC,0,11,725,44884,1.4265580805479847
1006,B,611,621,725,44884,5.926718144079899
1007,CD4+,21,3119,271,41065,0.057359628542533486
1007,CD8+,10,2600,271,41065,-0.7140619318834523
1007,Plasma,1,392,271,41065,-0.7933923751238456
1007,Macro,2,3215,271,41065,-3.0907053113174174
1007,NK,3,146,271,41065,1.8507920355693437
1007,DC,1,25,271,41065,3.150731126683648
1007,B,233,978,271,41065,5.1710446670168455
1009,CD4+,5,539,52,10115,0.9603833362493197
1009,CD8+,3,344,52,10115,0.9554256164533522
1009,Plasma,0,45,52,10115,1.068636226901343
1009,Macro,0,706,52,10115,-2.8881148832339
1009,NK,1,37,52,10115,2.9325746773253147
1009,DC,0,2,52,10115,5.2545027722126765
1009,B,43,543,52,10115,3.9332381379214585
HK2695,CD4+,169,4243,1509,149592,1.9844528091054603
HK2695,CD8+,23,4337,1509,149592,-0.8977088825888229
HK2695,Plasma,3,789,1509,149592,-1.1870902257161073
HK2695,Macro,10,8576,1509,149592,-3.043505569491411
HK2695,NK,0,517,1509,149592,-3.385064744300162
HK2695,DC,1,44,1509,149592,1.739579377841284
HK2695,B,1303,926,1509,149592,7.122878009594816
HK3626,CD4+,18,694,121,103917,4.503971188659256
HK3626,CD8+,13,533,121,103917,4.429891748350743
HK3626,Plasma,5,17,121,103917,8.064497308704029
HK3626,Macro,1,2565,121,103917,-1.005713102458561
HK3626,NK,0,61,121,103917,2.791834201672459
HK3626,DC,0,3,121,103917,6.926993784954095
HK3626,B,84,762,121,103917,6.560634615956272
