sample,state,compartment,markers,n_comp_in,n_comp_out,pos_in,pos_out,frac_in,frac_out,log2_enrich
1006,Treg_like,CD4+,FOXP3|IL2RA|CTLA4,44,1630,5.0,360.0,0.1136,0.2209,-0.8547358602213158
1006,eff_CD8,CD8+,GZMB|GZMK|PRF1,30,1802,6.0,434.0,0.2,0.2408,-0.20078527762784165
1006,mregDC_like,DC,LAMP3|CCR7|FSCN1|CD274,0,11,,,,,
1007,Treg_like,CD4+,FOXP3|IL2RA|CTLA4,21,3119,1.0,253.0,0.0476,0.0811,-0.25298074116987107
1007,eff_CD8,CD8+,GZMB|GZMK|PRF1,10,2600,3.0,416.0,0.3,0.16,0.9906013019977505
1007,mregDC_like,DC,LAMP3|CCR7|FSCN1|CD274,1,25,,,,,
1009,Treg_like,CD4+,FOXP3|IL2RA|CTLA4,5,539,,,,,
1009,eff_CD8,CD8+,GZMB|GZMK|PRF1,3,344,,,,,
1009,mregDC_like,DC,LAMP3|CCR7|FSCN1|CD274,0,2,,,,,
HK2695,Treg_like,CD4+,FOXP3|IL2RA|CTLA4,169,4243,25.0,734.0,0.1479,0.173,-0.20637533380772125
HK2695,eff_CD8,CD8+,GZMB|GZMK|PRF1,23,4337,6.0,838.0,0.2609,0.1932,0.4866245815278635
HK2695,mregDC_like,DC,LAMP3|CCR7|FSCN1|CD274,1,44,,,,,
HK3626,Treg_like,CD4+,FOXP3|IL2RA|CTLA4,18,694,2.0,83.0,0.1111,0.1196,0.13116545658059442
HK3626,eff_CD8,CD8+,GZMB|GZMK|PRF1,13,533,3.0,166.0,0.2308,0.3114,-0.31868243538370816
HK3626,mregDC_like,DC,LAMP3|CCR7|FSCN1|CD274,0,3,,,,,
