platform,marker,marker_class,auroc_cd8_vs_cd4,rank_biserial,measured,n_cd4,n_cd8
CosMx,CD4,subtype,0.5005,0.001,True,21842,27120
CosMx,CD8A,subtype,0.5643,0.1285,True,21842,27120
CosMx,CD8B,subtype,0.5151,0.0302,True,21842,27120
CosMx,CD3D,lineage,0.5081,0.0162,True,21842,27120
CosMx,CD3E,lineage,0.526,0.0521,True,21842,27120
CosMx,CD3G,lineage,0.507,0.014,True,21842,27120
CosMx,TRAC,lineage,,,False,21842,27120
CosMx,TRBC2,lineage,,,False,21842,27120
CosMx,FOXP3,context,0.4937,-0.0126,True,21842,27120
CosMx,IL2RA,context,0.4968,-0.0064,True,21842,27120
CosMx,CTLA4,context,0.4952,-0.0096,True,21842,27120
CosMx,GZMB,context,0.5055,0.011,True,21842,27120
CosMx,GZMK,context,0.5484,0.0969,True,21842,27120
CosMx,NKG7,context,0.5538,0.1076,True,21842,27120
CosMx,PRF1,context,0.522,0.044,True,21842,27120
CosMx,IL7R,context,0.4971,-0.0059,True,21842,27120
CosMx,CCR7,context,0.4904,-0.0191,True,21842,27120
CosMx,SELL,context,0.4972,-0.0055,True,21842,27120
Xenium,CD4,subtype,0.5074,0.0148,True,21140,19673
Xenium,CD8A,subtype,0.6943,0.3886,True,21140,19673
Xenium,CD8B,subtype,0.5322,0.0643,True,21140,19673
Xenium,CD3D,lineage,,,False,21140,19673
Xenium,CD3E,lineage,0.6273,0.2546,True,21140,19673
Xenium,CD3G,lineage,0.5298,0.0595,True,21140,19673
Xenium,TRAC,lineage,,,False,21140,19673
Xenium,TRBC2,lineage,,,False,21140,19673
Xenium,FOXP3,context,0.4923,-0.0153,True,21140,19673
Xenium,IL2RA,context,0.4981,-0.0038,True,21140,19673
Xenium,CTLA4,context,0.4929,-0.0142,True,21140,19673
Xenium,GZMB,context,0.5035,0.0069,True,21140,19673
Xenium,GZMK,context,0.5779,0.1559,True,21140,19673
Xenium,NKG7,context,,,False,21140,19673
Xenium,PRF1,context,0.5128,0.0255,True,21140,19673
Xenium,IL7R,context,,,False,21140,19673
Xenium,CCR7,context,0.4993,-0.0014,True,21140,19673
Xenium,SELL,context,0.4989,-0.0022,True,21140,19673
