platform,label,n_cells,marker,marker_class,measured,det_rate,mean_count,ambient_det_rate,ambient_mean_count,above_floor
CosMx,CD4,21842,CD4,subtype,True,0.1093,0.1322,0.0386,0.0435,True
CosMx,CD4,21842,CD8A,subtype,True,0.0345,0.0399,0.0459,0.0523,False
CosMx,CD4,21842,CD8B,subtype,True,0.0274,0.0309,0.0437,0.0487,False
CosMx,CD4,21842,CD3D,lineage,True,0.1139,0.1441,0.0391,0.043,True
CosMx,CD4,21842,CD3E,lineage,True,0.1569,0.2019,0.0421,0.0477,True
CosMx,CD4,21842,CD3G,lineage,True,0.1124,0.1431,0.0645,0.0723,False
CosMx,CD4,21842,TRAC,lineage,False,,,,,False
CosMx,CD4,21842,TRBC2,lineage,False,,,,,False
CosMx,CD4,21842,FOXP3,context,True,0.0324,0.0373,0.0316,0.0342,False
CosMx,CD4,21842,IL2RA,context,True,0.0425,0.0499,0.0303,0.0335,False
CosMx,CD4,21842,CTLA4,context,True,0.0443,0.0507,0.0288,0.0308,False
CosMx,CD4,21842,GZMB,context,True,0.0252,0.0284,0.0414,0.0465,False
CosMx,CD4,21842,GZMK,context,True,0.0602,0.0736,0.0421,0.0488,False
CosMx,CD4,21842,NKG7,context,True,0.0384,0.0451,0.0409,0.0459,False
CosMx,CD4,21842,PRF1,context,True,0.0337,0.0382,0.0354,0.0393,False
CosMx,CD4,21842,IL7R,context,True,0.3127,0.5256,0.0748,0.0842,True
CosMx,CD4,21842,CCR7,context,True,0.1263,0.1667,0.0747,0.0855,True
CosMx,CD4,21842,SELL,context,True,0.0734,0.0883,0.0238,0.0257,False
CosMx,CD8,27120,CD4,subtype,True,0.0647,0.0746,0.0386,0.0435,False
CosMx,CD8,27120,CD8A,subtype,True,0.1693,0.2313,0.0459,0.0523,True
CosMx,CD8,27120,CD8B,subtype,True,0.068,0.0813,0.0437,0.0487,False
CosMx,CD8,27120,CD3D,lineage,True,0.0817,0.0986,0.0391,0.043,False
CosMx,CD8,27120,CD3E,lineage,True,0.1344,0.1706,0.0421,0.0477,True
CosMx,CD8,27120,CD3G,lineage,True,0.0951,0.1175,0.0645,0.0723,False
CosMx,CD8,27120,TRAC,lineage,False,,,,,False
CosMx,CD8,27120,TRBC2,lineage,False,,,,,False
CosMx,CD8,27120,FOXP3,context,True,0.0192,0.0212,0.0316,0.0342,False
CosMx,CD8,27120,IL2RA,context,True,0.0282,0.0314,0.0303,0.0335,False
CosMx,CD8,27120,CTLA4,context,True,0.0247,0.0266,0.0288,0.0308,False
CosMx,CD8,27120,GZMB,context,True,0.0466,0.0552,0.0414,0.0465,False
CosMx,CD8,27120,GZMK,context,True,0.1448,0.1887,0.0421,0.0488,True
CosMx,CD8,27120,NKG7,context,True,0.147,0.1892,0.0409,0.0459,True
CosMx,CD8,27120,PRF1,context,True,0.0786,0.0954,0.0354,0.0393,False
CosMx,CD8,27120,IL7R,context,True,0.1541,0.2159,0.0748,0.0842,True
CosMx,CD8,27120,CCR7,context,True,0.0737,0.0911,0.0747,0.0855,False
CosMx,CD8,27120,SELL,context,True,0.0358,0.041,0.0238,0.0257,False
Xenium,CD4,21140,CD4,subtype,True,0.2257,0.2908,0.0028,0.0029,True
Xenium,CD4,21140,CD8A,subtype,True,0.0739,0.1232,0.0011,0.0013,True
Xenium,CD4,21140,CD8B,subtype,True,0.0126,0.0139,0.0021,0.0022,False
Xenium,CD4,21140,CD3D,lineage,False,0.0,0.0,0.0,0.0,False
Xenium,CD4,21140,CD3E,lineage,True,0.4702,0.7631,0.0016,0.0018,True
Xenium,CD4,21140,CD3G,lineage,True,0.122,0.1385,0.0005,0.0005,True
Xenium,CD4,21140,TRAC,lineage,False,,,,,False
Xenium,CD4,21140,TRBC2,lineage,False,,,,,False
Xenium,CD4,21140,FOXP3,context,True,0.0579,0.0813,0.0006,0.0006,True
Xenium,CD4,21140,IL2RA,context,True,0.0293,0.0323,0.0009,0.001,False
Xenium,CD4,21140,CTLA4,context,True,0.1035,0.1491,0.0005,0.0005,True
Xenium,CD4,21140,GZMB,context,True,0.0026,0.0027,0.0002,0.0002,False
Xenium,CD4,21140,GZMK,context,True,0.0446,0.0497,0.0003,0.0003,False
Xenium,CD4,21140,NKG7,context,False,0.0,0.0,0.0,0.0,False
Xenium,CD4,21140,PRF1,context,True,0.0123,0.0127,0.0003,0.0003,False
Xenium,CD4,21140,IL7R,context,False,0.0,0.0,0.0,0.0,False
Xenium,CD4,21140,CCR7,context,True,0.0149,0.0154,0.0001,0.0,False
Xenium,CD4,21140,SELL,context,True,0.0522,0.0596,0.0004,0.0004,True
Xenium,CD8,19673,CD4,subtype,True,0.0952,0.1141,0.0028,0.0029,True
Xenium,CD8,19673,CD8A,subtype,True,0.4125,0.8707,0.0011,0.0013,True
Xenium,CD8,19673,CD8B,subtype,True,0.07,0.0818,0.0021,0.0022,True
Xenium,CD8,19673,CD3D,lineage,False,0.0,0.0,0.0,0.0,False
Xenium,CD8,19673,CD3E,lineage,True,0.4204,0.6534,0.0016,0.0018,True
Xenium,CD8,19673,CD3G,lineage,True,0.1021,0.1144,0.0005,0.0005,True
Xenium,CD8,19673,TRAC,lineage,False,,,,,False
Xenium,CD8,19673,TRBC2,lineage,False,,,,,False
Xenium,CD8,19673,FOXP3,context,True,0.0051,0.0061,0.0006,0.0006,False
Xenium,CD8,19673,IL2RA,context,True,0.007,0.0072,0.0009,0.001,False
Xenium,CD8,19673,CTLA4,context,True,0.0221,0.0258,0.0005,0.0005,False
Xenium,CD8,19673,GZMB,context,True,0.008,0.0088,0.0002,0.0002,False
Xenium,CD8,19673,GZMK,context,True,0.1712,0.2111,0.0003,0.0003,True
Xenium,CD8,19673,NKG7,context,False,0.0,0.0,0.0,0.0,False
Xenium,CD8,19673,PRF1,context,True,0.0299,0.0314,0.0003,0.0003,False
Xenium,CD8,19673,IL7R,context,False,0.0,0.0,0.0,0.0,False
Xenium,CD8,19673,CCR7,context,True,0.0038,0.0038,0.0001,0.0,False
Xenium,CD8,19673,SELL,context,True,0.0161,0.0175,0.0004,0.0004,False
