slide,n_epi,n_T,epi_CD3pos_rate,epi_CD3_mean,epi_negmean,epi_CD3_vs_neg,T_CD3_mean,T_vs_epi
SMI0016C_SP17SP19,44826,8,0.4034,0.6602,0.0302,21.83,,
SMI0016c_SP2219,64108,22,0.4997,0.9135,0.0417,21.92,2.2727,2.49
SP17_2566_R1081_S2,19018,216,0.3568,0.583,0.1496,3.9,1.2083,2.07
SP17_8693_R1087_S1,13725,68,0.2805,0.3905,0.095,4.11,0.6618,1.69
SP18_3323_R1081_S2,19062,245,0.4259,0.7325,0.1666,4.4,1.6408,2.24
SP18_8471_R1087_S2,9268,123,0.3172,0.4565,0.1192,3.83,0.9675,2.12
SP19_1139_R1080_S3,41578,15,0.2574,0.3409,0.0681,5.0,1.0667,3.13
SP19_4061_R1087_S1,10342,128,0.394,0.6558,0.1474,4.45,1.2422,1.89
SP20_10838_R1080_S1,21048,57,0.2045,0.2622,0.0633,4.14,1.1579,4.42
SP20_1098_R1087_S2,20693,321,0.3218,0.5248,0.1299,4.04,1.1682,2.23
SP20_642_R1080_S3,7360,27,0.2162,0.3016,0.0692,4.36,1.3333,4.42
SP21_213_R1080_S1,30786,27,0.2548,0.3523,0.0901,3.91,1.7407,4.94
SP22-1068-A2-S1,27907,2,0.3301,0.473,0.0564,8.38,,
SP22-1068-A2-S2,27575,4,0.3434,0.494,0.0464,10.65,,
