section,n_aggregates,n_cells_in,n_cells_out,B_in,B_out,B_log2,Plasma_in,Plasma_out,Plasma_log2,Myeloid_in,Myeloid_out,Myeloid_log2,T_lineage_in,T_lineage_out,T_lineage_log2,NK_in,NK_out,NK_log2
HK3626,3,1241,102797,385,461,6.111925915368645,7,15,5.26301805216471,42,2527,0.46124265077207965,214,1044,4.085578544980146,0,61,-9.215296449233318
1004,4,1183,23266,300,301,4.29279441133061,0,36,-10.596490074648283,80,2077,-0.4006510144922283,469,2114,2.125373430781795,7,85,0.6955141620885805
1005,1,339,17598,60,198,3.975396300786021,0,325,-14.172818737254152,20,2526,-1.2827140329393896,186,1100,3.1338329451504885,3,46,1.7589941339401165
1007,9,2847,38489,715,496,4.28442870890511,26,367,-0.06225807232647391,146,3097,-0.649889115842941,1165,4585,1.7803314260933776,22,127,1.2274282465390889
1008,2,881,27031,147,193,4.546350963874856,3,49,0.9092096735173102,67,1332,0.6260295718871227,397,844,3.8511820605228486,13,76,2.3914259934440314
1009,3,1335,8832,366,220,3.460187900756674,11,34,1.0976695750960443,115,593,0.3594974473176036,330,561,1.9603488075612563,10,28,1.2402111944858383
1006,4,2255,43354,976,256,6.195462138223671,30,152,1.923625857906498,151,5008,-0.7866392828064726,443,3063,1.4753859301392402,2,125,-1.6996930790239444
1013,1,186,28075,33,402,3.631089398914623,0,144,-12.324776416614647,12,2193,-0.2758841126897841,88,3606,1.8810793453483718,4,178,1.7619457131336784
1012,1,266,38839,89,149,6.446129211855836,5,294,1.3120779238657683,54,2576,1.613891978686859,24,2903,0.27156633206454056,0,64,-10.687225381525929
HK2695,4,4509,146592,1885,344,7.476327898880181,56,736,1.3064768583135589,185,8446,-0.48980589581430173,1331,7441,2.539845570936224,13,504,-0.2539044031568725
