section,Condition,Myeloid_near,Myeloid_d,Myeloid_p,B_lineage_near,B_lineage_d,B_lineage_p,CD4 T_near,CD4 T_d,CD4 T_p,CD8 T_near,CD8 T_d,CD8 T_p
1001,DKD,0.5655,0.1379,0.0,0.0764,-0.0615,0.203,0.1727,-0.0135,0.991,0.0899,-0.0067,0.742
1003,IgA,0.6027,-0.0038,0.0,0.0309,0.0063,1.0,0.2166,-0.0211,0.815,0.1328,0.0509,0.163
1004,AA amyloid,0.4278,0.2213,0.0,0.1066,-0.0347,0.995,0.3058,0.0014,1.0,0.1464,0.1464,0.874
1005,MN,0.6062,0.4894,0.0,0.0957,-0.063,1.0,0.1588,-0.2215,1.0,0.0752,-0.1553,1.0
1006,DKD,0.5562,0.3368,0.0,0.0413,-0.4006,1.0,0.233,0.0363,0.467,0.1314,0.044,0.179
1007,C3GN,0.3721,0.2023,0.0,0.0836,-0.2,1.0,0.3365,-0.003,0.972,0.1864,-0.0002,0.873
1008,DKD,0.4487,-0.2479,0.153,0.1188,0.1075,0.039,0.2594,0.1807,0.899,0.1508,0.1058,0.075
1009,AA amyloid,0.3621,0.1746,0.0,0.2301,-0.0824,0.997,0.2585,-0.054,0.988,0.1302,0.0052,0.954
1010,DKD,0.5726,0.0112,0.0,0.036,0.0053,0.029,0.2359,-0.0405,1.0,0.1382,0.0198,0.221
1011,DKD,0.3968,-0.0863,0.837,0.0812,-0.0544,0.278,0.2405,0.0625,0.17,0.2257,0.1155,0.001
1012,DKD,0.4129,0.1556,0.0,0.146,0.0591,0.0,0.2143,-0.1345,1.0,0.121,-0.0656,1.0
1013,DKD,0.366,0.1041,0.0,0.0817,0.0371,0.693,0.3288,-0.1801,1.0,0.2006,0.0429,0.003
HK2695,DKD,0.4068,-0.0505,0.057,0.1149,-0.0688,1.0,0.2646,0.0533,0.0,0.1862,0.0477,0.05
HK2753,Control,0.5271,-0.0406,0.22,0.0202,-0.0033,0.391,0.2129,0.0697,0.0,0.1276,0.0053,0.184
HK3106,Control,0.7082,-0.0007,0.008,0.0127,0.0046,0.344,0.1009,-0.0043,0.061,0.0755,0.0162,0.064
HK3626,Control,0.5043,-0.0208,0.043,0.1545,0.0397,0.343,0.169,0.0123,0.011,0.1073,0.0379,0.0
