sample,condition,n_cells,Blin_frac_x02,B_frac,Plasma_frac,B_pct,Plasma_pct,B_to_Plasma,n_B,n_Plasma,n_agg_x02
1006,DKD B-rich,45609,0.0292,0.0252,0.004,2.521,0.397,6.35,1150,181,5
HK2695,DKD B-rich,151101,0.0203,0.0135,0.0069,1.347,0.687,1.96,2035,1038,4
1001,DKD B-poor,29126,0.0072,0.0033,0.004,0.326,0.398,0.82,95,116,1
1008,DKD B-poor,27912,0.0132,0.0111,0.0021,1.111,0.208,5.34,310,58,2
1010,DKD B-poor,40475,0.0051,0.0035,0.0016,0.353,0.158,2.23,143,64,0
1011,DKD B-poor,27876,0.0104,0.0057,0.0046,0.574,0.463,1.24,160,129,0
1012,DKD B-poor,39105,0.0131,0.0056,0.0075,0.563,0.749,0.75,220,293,3
1013,DKD B-poor,28261,0.0196,0.0144,0.0052,1.444,0.517,2.79,408,146,1
HK3626,Control,104038,0.0081,0.0079,0.0002,0.789,0.025,31.58,821,26,3
HK2753,Control,161350,0.0006,0.0005,0.0001,0.05,0.014,3.68,81,22,0
HK3106,Control,171526,0.0004,0.0002,0.0002,0.017,0.02,0.88,30,34,0
1003,IgAN,30772,0.0082,0.0047,0.0035,0.468,0.348,1.35,144,107,0
1005,MN,17937,0.0311,0.0131,0.018,1.31,1.795,0.73,235,322,3
1004,AA amyloid,24449,0.0261,0.0216,0.0045,2.156,0.454,4.75,527,111,1
1009,AA amyloid,10167,0.0562,0.0483,0.0079,4.829,0.787,6.14,491,80,4
1007,C3GN,41336,0.0342,0.0252,0.009,2.523,0.895,2.82,1043,370,4
