sample,condition,n_region,CCL19_pct,CXCL13_ncells,CXCR5_ncells,CCR7_ncells
1006,DKD B-rich,2371,6.71,2,76,42
HK2695,DKD B-rich,4687,10.48,303,98,102
1001,DKD B-poor,155,10.32,0,1,0
1008,DKD B-poor,837,17.08,0,12,4
1010,DKD B-poor,0,,0,0,0
1011,DKD B-poor,0,,0,0,0
1012,DKD B-poor,592,2.03,1,12,1
1013,DKD B-poor,151,14.57,0,3,2
HK3626,Control,1264,7.12,2,21,22
HK2753,Control,0,,0,0,0
HK3106,Control,0,,0,0,0
1003,IgAN,0,,0,0,0
1005,MN,731,27.36,13,19,10
1004,AA amyloid,709,17.21,1,21,18
1009,AA amyloid,1668,14.27,1,24,3
1007,C3GN,1734,24.97,40,46,20
