type_a,type_b,dom,DKD_n,DKD_repro,Ctrl_dom,DKD_null_repro,class,disease_specific_survivor
iPT,EC_glom,avoided,8,0.75,0.0,0.0,DISEASE-SPECIFIC candidate (review),True
iPT,Fibroblast,avoided,8,1.0,1.0,0.0,DISEASE-SPECIFIC candidate (review),True
PT,EC_glom,avoided,8,0.75,1.0,0.0,DISEASE-SPECIFIC candidate (review),False
B,PT,avoided,8,1.0,-1.0,0.0,compartmentalization (immune avoids epi/structure),False
B,TAL,avoided,8,1.0,-1.0,0.25,compartmentalization (immune avoids epi/structure),False
B,iTAL,avoided,8,0.88,-1.0,0.12,compartmentalization (immune avoids epi/structure),False
B,DCT,avoided,8,0.88,-1.0,0.12,compartmentalization (immune avoids epi/structure),False
B,CNT,avoided,8,1.0,-1.0,0.0,compartmentalization (immune avoids epi/structure),False
B,PC,avoided,8,0.88,-1.0,0.12,compartmentalization (immune avoids epi/structure),False
B,IC A,avoided,8,1.0,-1.0,0.0,compartmentalization (immune avoids epi/structure),False
B,MC,avoided,8,0.88,0.0,0.12,compartmentalization (immune avoids epi/structure),False
B,EC_Peritub,avoided,8,0.75,1.0,0.0,compartmentalization (immune avoids epi/structure),False
B,EC_DVR,avoided,8,0.75,-1.0,0.0,compartmentalization (immune avoids epi/structure),False
Plasma,PT,avoided,8,1.0,-1.0,0.0,compartmentalization (immune avoids epi/structure),False
Plasma,CNT,avoided,8,1.0,-1.0,0.12,compartmentalization (immune avoids epi/structure),False
Plasma,PC,avoided,8,0.88,0.0,0.0,compartmentalization (immune avoids epi/structure),False
Plasma,IC A,avoided,8,1.0,-1.0,0.0,compartmentalization (immune avoids epi/structure),False
Plasma,MC,avoided,8,0.75,0.0,0.0,compartmentalization (immune avoids epi/structure),False
Myeloid,PT,avoided,8,1.0,-1.0,0.0,compartmentalization (immune avoids epi/structure),False
Myeloid,TAL,avoided,8,1.0,-1.0,0.12,compartmentalization (immune avoids epi/structure),False
Myeloid,DCT,avoided,8,1.0,-1.0,0.0,compartmentalization (immune avoids epi/structure),False
Myeloid,CNT,avoided,8,1.0,-1.0,0.12,compartmentalization (immune avoids epi/structure),False
Myeloid,PC,avoided,8,1.0,-1.0,0.0,compartmentalization (immune avoids epi/structure),False
Myeloid,IC A,avoided,8,1.0,-1.0,0.12,compartmentalization (immune avoids epi/structure),False
Myeloid,MC,avoided,8,0.75,-1.0,0.0,compartmentalization (immune avoids epi/structure),False
Myeloid,EC_glom,avoided,8,0.75,1.0,0.12,compartmentalization (immune avoids epi/structure),False
CD4 T,PT,avoided,8,1.0,-1.0,0.0,compartmentalization (immune avoids epi/structure),False
CD4 T,iPT,avoided,8,0.75,1.0,0.12,compartmentalization (immune avoids epi/structure),False
CD4 T,TAL,avoided,8,1.0,-1.0,0.0,compartmentalization (immune avoids epi/structure),False
CD4 T,iTAL,avoided,8,1.0,-1.0,0.25,compartmentalization (immune avoids epi/structure),False
CD4 T,DCT,avoided,8,1.0,-1.0,0.12,compartmentalization (immune avoids epi/structure),False
CD4 T,CNT,avoided,8,1.0,-1.0,0.0,compartmentalization (immune avoids epi/structure),False
CD4 T,PC,avoided,8,1.0,-1.0,0.0,compartmentalization (immune avoids epi/structure),False
CD4 T,IC A,avoided,8,1.0,-1.0,0.12,compartmentalization (immune avoids epi/structure),False
CD4 T,Podo,avoided,8,1.0,-1.0,0.12,compartmentalization (immune avoids epi/structure),False
CD4 T,MC,avoided,8,0.88,-1.0,0.0,compartmentalization (immune avoids epi/structure),False
CD4 T,PEC,avoided,8,0.75,1.0,0.0,compartmentalization (immune avoids epi/structure),False
CD4 T,VSMC,avoided,8,0.75,1.0,0.0,compartmentalization (immune avoids epi/structure),False
CD4 T,EC_Peritub,avoided,8,0.88,1.0,0.0,compartmentalization (immune avoids epi/structure),False
CD4 T,EC_DVR,avoided,8,1.0,1.0,0.0,compartmentalization (immune avoids epi/structure),False
CD8 T,PT,avoided,8,1.0,-1.0,0.12,compartmentalization (immune avoids epi/structure),False
CD8 T,TAL,avoided,8,1.0,-1.0,0.12,compartmentalization (immune avoids epi/structure),False
CD8 T,iTAL,avoided,8,1.0,-1.0,0.0,compartmentalization (immune avoids epi/structure),False
CD8 T,DCT,avoided,8,1.0,-1.0,0.0,compartmentalization (immune avoids epi/structure),False
CD8 T,CNT,avoided,8,1.0,-1.0,0.0,compartmentalization (immune avoids epi/structure),False
CD8 T,PC,avoided,8,1.0,-1.0,0.12,compartmentalization (immune avoids epi/structure),False
CD8 T,IC A,avoided,8,1.0,-1.0,0.0,compartmentalization (immune avoids epi/structure),False
CD8 T,MC,avoided,8,0.75,0.0,0.0,compartmentalization (immune avoids epi/structure),False
CD8 T,EC_glom,avoided,8,0.75,0.0,0.0,compartmentalization (immune avoids epi/structure),False
Myeloid,CD4 T,enriched,8,1.0,1.0,0.12,constitutive adjacency (also in controls),False
Myeloid,CD8 T,enriched,8,1.0,1.0,0.0,constitutive adjacency (also in controls),False
Myeloid,Fibroblast,enriched,8,1.0,1.0,0.0,constitutive adjacency (also in controls),False
CD4 T,CD8 T,enriched,8,1.0,1.0,0.12,constitutive adjacency (also in controls),False
CD4 T,Fibroblast,enriched,8,1.0,1.0,0.0,constitutive adjacency (also in controls),False
CD8 T,Fibroblast,enriched,8,1.0,1.0,0.0,constitutive adjacency (also in controls),False
TAL,iTAL,enriched,8,0.88,1.0,0.12,constitutive adjacency (also in controls),False
CNT,PC,enriched,8,1.0,1.0,0.0,constitutive adjacency (also in controls),False
CNT,IC A,enriched,8,1.0,1.0,0.0,constitutive adjacency (also in controls),False
PC,IC A,enriched,8,1.0,1.0,0.0,constitutive adjacency (also in controls),False
Podo,MC,enriched,8,1.0,1.0,0.12,constitutive adjacency (also in controls),False
Podo,PEC,enriched,8,0.88,1.0,0.0,constitutive adjacency (also in controls),False
Fibroblast,VSMC,enriched,8,1.0,1.0,0.0,constitutive adjacency (also in controls),False
Fibroblast,EC_Peritub,enriched,8,0.75,1.0,0.0,constitutive adjacency (also in controls),False
VSMC,EC_Peritub,enriched,8,1.0,1.0,0.0,constitutive adjacency (also in controls),False
VSMC,EC_DVR,enriched,8,1.0,1.0,0.0,constitutive adjacency (also in controls),False
EC_Peritub,EC_DVR,enriched,8,0.88,1.0,0.0,constitutive adjacency (also in controls),False
PT,TAL,avoided,8,1.0,-1.0,0.0,"control-underpowered (same direction, weaker)",False
PT,iTAL,avoided,8,1.0,-1.0,0.12,"control-underpowered (same direction, weaker)",False
PT,DCT,avoided,8,0.75,-1.0,0.12,"control-underpowered (same direction, weaker)",False
PT,CNT,avoided,8,1.0,-1.0,0.0,"control-underpowered (same direction, weaker)",False
PT,PC,avoided,8,1.0,-1.0,0.12,"control-underpowered (same direction, weaker)",False
PT,IC A,avoided,8,1.0,-1.0,0.0,"control-underpowered (same direction, weaker)",False
PT,Podo,avoided,8,0.88,-1.0,0.0,"control-underpowered (same direction, weaker)",False
PT,MC,avoided,8,1.0,-1.0,0.0,"control-underpowered (same direction, weaker)",False
PT,PEC,avoided,8,1.0,-1.0,0.0,"control-underpowered (same direction, weaker)",False
PT,Fibroblast,avoided,8,1.0,-1.0,0.0,"control-underpowered (same direction, weaker)",False
PT,VSMC,avoided,8,1.0,-1.0,0.0,"control-underpowered (same direction, weaker)",False
PT,EC_DVR,avoided,8,0.88,-1.0,0.0,"control-underpowered (same direction, weaker)",False
iPT,TAL,avoided,8,1.0,-1.0,0.0,"control-underpowered (same direction, weaker)",False
iPT,iTAL,avoided,8,1.0,-1.0,0.25,"control-underpowered (same direction, weaker)",False
iPT,DCT,avoided,8,1.0,-1.0,0.0,"control-underpowered (same direction, weaker)",False
iPT,CNT,avoided,8,1.0,-1.0,0.0,"control-underpowered (same direction, weaker)",False
iPT,PC,avoided,8,1.0,-1.0,0.0,"control-underpowered (same direction, weaker)",False
iPT,IC A,avoided,8,1.0,-1.0,0.12,"control-underpowered (same direction, weaker)",False
iPT,Podo,avoided,8,0.75,-1.0,0.0,"control-underpowered (same direction, weaker)",False
iPT,MC,avoided,8,1.0,-1.0,0.0,"control-underpowered (same direction, weaker)",False
iPT,VSMC,avoided,8,1.0,-1.0,0.0,"control-underpowered (same direction, weaker)",False
iPT,EC_Peritub,avoided,8,0.88,-1.0,0.0,"control-underpowered (same direction, weaker)",False
iPT,EC_DVR,avoided,8,1.0,-1.0,0.0,"control-underpowered (same direction, weaker)",False
TAL,CNT,avoided,8,0.88,-1.0,0.12,"control-underpowered (same direction, weaker)",False
TAL,PC,avoided,8,1.0,-1.0,0.0,"control-underpowered (same direction, weaker)",False
TAL,IC A,avoided,8,0.88,-1.0,0.0,"control-underpowered (same direction, weaker)",False
TAL,Podo,avoided,8,0.88,-1.0,0.12,"control-underpowered (same direction, weaker)",False
TAL,MC,avoided,8,1.0,-1.0,0.0,"control-underpowered (same direction, weaker)",False
TAL,EC_glom,avoided,8,1.0,-1.0,0.12,"control-underpowered (same direction, weaker)",False
TAL,Fibroblast,avoided,8,1.0,-1.0,0.0,"control-underpowered (same direction, weaker)",False
TAL,EC_Peritub,avoided,8,0.88,-1.0,0.12,"control-underpowered (same direction, weaker)",False
TAL,EC_DVR,avoided,8,0.75,-1.0,0.12,"control-underpowered (same direction, weaker)",False
iTAL,DCT,avoided,8,0.88,-1.0,0.12,"control-underpowered (same direction, weaker)",False
iTAL,CNT,avoided,8,1.0,-1.0,0.0,"control-underpowered (same direction, weaker)",False
iTAL,PC,avoided,8,1.0,-1.0,0.0,"control-underpowered (same direction, weaker)",False
iTAL,IC A,avoided,8,1.0,-1.0,0.0,"control-underpowered (same direction, weaker)",False
iTAL,Podo,avoided,8,0.88,-1.0,0.0,"control-underpowered (same direction, weaker)",False
iTAL,MC,avoided,8,1.0,-1.0,0.0,"control-underpowered (same direction, weaker)",False
iTAL,EC_glom,avoided,8,0.88,-1.0,0.12,"control-underpowered (same direction, weaker)",False
iTAL,Fibroblast,avoided,8,1.0,-1.0,0.12,"control-underpowered (same direction, weaker)",False
iTAL,VSMC,avoided,8,0.75,-1.0,0.12,"control-underpowered (same direction, weaker)",False
iTAL,EC_Peritub,avoided,8,1.0,-1.0,0.0,"control-underpowered (same direction, weaker)",False
DCT,CNT,avoided,8,0.88,-1.0,0.12,"control-underpowered (same direction, weaker)",False
DCT,PC,avoided,8,1.0,-1.0,0.12,"control-underpowered (same direction, weaker)",False
DCT,MC,avoided,8,0.88,-1.0,0.0,"control-underpowered (same direction, weaker)",False
DCT,PEC,avoided,8,1.0,-1.0,0.12,"control-underpowered (same direction, weaker)",False
DCT,EC_glom,avoided,8,0.75,-1.0,0.25,"control-underpowered (same direction, weaker)",False
DCT,Fibroblast,avoided,8,1.0,-1.0,0.0,"control-underpowered (same direction, weaker)",False
