type_a,type_b,known,DKD_n,DKD_enr,DKD_avo,DKD_dom,DKD_repro,Ctrl_n,Ctrl_enr,Ctrl_avo,Ctrl_dom,IgAN,MN,C3GN,AA,DKD_null_repro,candidate,offtarget
B,Plasma,True,8,7,0,1.0,0.88,3,1,0,1.0,1.0,1.0,1.0,1.0,0.0,True,False
B,Myeloid,True,8,5,2,1.0,0.62,3,2,0,1.0,1.0,0.0,-1.0,0.0,0.0,False,False
B,CD4 T,True,8,8,0,1.0,1.0,3,2,0,1.0,1.0,1.0,1.0,1.0,0.0,True,False
B,CD8 T,True,8,7,0,1.0,0.88,3,3,0,1.0,1.0,1.0,1.0,1.0,0.0,False,False
B,PT,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
B,iPT,False,8,0,4,-1.0,0.5,3,1,0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
B,TAL,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.25,False,True
B,iTAL,False,8,0,7,-1.0,0.88,3,0,2,-1.0,-1.0,-1.0,-1.0,-1.0,0.12,True,True
B,DCT,False,8,0,7,-1.0,0.88,3,0,2,-1.0,0.0,-1.0,-1.0,-1.0,0.12,True,True
B,CNT,False,8,0,8,-1.0,1.0,3,0,2,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,True,True
B,PC,False,8,0,7,-1.0,0.88,3,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,0.12,True,True
B,IC A,False,8,0,8,-1.0,1.0,3,0,1,-1.0,0.0,-1.0,-1.0,-1.0,0.0,True,True
B,Podo,False,8,0,4,-1.0,0.5,3,1,1,0.0,-1.0,0.0,-1.0,-1.0,0.0,False,True
B,MC,False,8,0,7,-1.0,0.88,3,1,1,0.0,-1.0,-1.0,-1.0,-1.0,0.12,True,True
B,PEC,False,8,0,5,-1.0,0.62,3,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
B,EC_glom,False,8,2,3,-1.0,0.38,3,0,1,-1.0,0.0,0.0,-1.0,-1.0,0.12,False,True
B,Fibroblast,False,8,4,3,1.0,0.5,3,2,0,1.0,0.0,-1.0,-1.0,-1.0,0.0,False,True
B,VSMC,False,8,0,4,-1.0,0.5,3,0,0,0.0,0.0,0.0,-1.0,-1.0,0.12,False,True
B,EC_Peritub,False,8,1,6,-1.0,0.75,3,1,0,1.0,1.0,-1.0,-1.0,-1.0,0.0,True,True
B,EC_DVR,False,8,0,6,-1.0,0.75,3,0,1,-1.0,0.0,0.0,-1.0,-1.0,0.0,True,True
Plasma,Myeloid,True,8,8,0,1.0,1.0,3,2,0,1.0,1.0,1.0,1.0,1.0,0.0,True,False
Plasma,CD4 T,True,8,8,0,1.0,1.0,3,1,0,1.0,1.0,1.0,1.0,1.0,0.0,True,False
Plasma,CD8 T,True,8,7,0,1.0,0.88,3,1,0,1.0,1.0,1.0,1.0,1.0,0.0,True,False
Plasma,PT,False,8,0,8,-1.0,1.0,3,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
Plasma,iPT,False,8,1,5,-1.0,0.62,3,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,False,True
