section,group,spillover,type_a,type_b,z,sign,z_null,n_a,n_b
HK2753,Control,unassessed,B,Plasma,-0.26,0.0,-0.27,81,22
HK2753,Control,unassessed,B,Myeloid,7.2,1.0,-0.16,81,2796
HK2753,Control,unassessed,B,CD4 T,17.02,1.0,0.62,81,987
HK2753,Control,unassessed,B,CD8 T,12.87,1.0,-0.7,81,653
HK2753,Control,unassessed,B,PT,-8.64,-1.0,-1.25,81,63796
HK2753,Control,unassessed,B,iPT,4.22,1.0,0.8,81,6266
HK2753,Control,unassessed,B,TAL,-3.31,-1.0,0.8,81,4980
HK2753,Control,unassessed,B,iTAL,-2.2,-1.0,-0.94,81,2865
HK2753,Control,unassessed,B,DCT,-3.69,-1.0,0.79,81,10278
HK2753,Control,unassessed,B,CNT,-2.9,-1.0,-0.12,81,13577
HK2753,Control,unassessed,B,PC,-1.28,0.0,0.22,81,4991
HK2753,Control,unassessed,B,IC A,-1.97,0.0,0.0,81,8755
HK2753,Control,unassessed,B,Podo,8.56,1.0,0.58,81,2242
HK2753,Control,unassessed,B,MC,7.78,1.0,1.36,81,3319
HK2753,Control,unassessed,B,PEC,0.41,0.0,0.49,81,1677
HK2753,Control,unassessed,B,EC_glom,-1.18,0.0,-0.54,81,982
HK2753,Control,unassessed,B,Fibroblast,1.35,0.0,0.44,81,10593
HK2753,Control,unassessed,B,VSMC,-0.64,0.0,0.44,81,2666
HK2753,Control,unassessed,B,EC_Peritub,-0.02,0.0,0.79,81,17844
HK2753,Control,unassessed,B,EC_DVR,0.37,0.0,0.26,81,1150
HK2753,Control,unassessed,Plasma,Myeloid,3.21,1.0,-0.84,22,2796
HK2753,Control,unassessed,Plasma,CD4 T,0.25,0.0,1.32,22,987
HK2753,Control,unassessed,Plasma,CD8 T,0.66,0.0,-0.73,22,653
HK2753,Control,unassessed,Plasma,PT,-2.5,-1.0,-0.75,22,63796
HK2753,Control,unassessed,Plasma,iPT,-2.25,-1.0,0.84,22,6266
HK2753,Control,unassessed,Plasma,TAL,-0.55,0.0,0.99,22,4980
HK2753,Control,unassessed,Plasma,iTAL,1.04,0.0,-0.84,22,2865
HK2753,Control,unassessed,Plasma,DCT,-2.31,-1.0,-0.09,22,10278
HK2753,Control,unassessed,Plasma,CNT,-2.46,-1.0,0.67,22,13577
HK2753,Control,unassessed,Plasma,PC,-1.97,0.0,-0.51,22,4991
HK2753,Control,unassessed,Plasma,IC A,-1.52,0.0,-0.08,22,8755
HK2753,Control,unassessed,Plasma,Podo,0.16,0.0,-0.55,22,2242
HK2753,Control,unassessed,Plasma,MC,-0.43,0.0,-0.95,22,3319
HK2753,Control,unassessed,Plasma,PEC,3.04,1.0,-1.2,22,1677
HK2753,Control,unassessed,Plasma,EC_glom,0.29,0.0,0.27,22,982
HK2753,Control,unassessed,Plasma,Fibroblast,3.61,1.0,1.18,22,10593
HK2753,Control,unassessed,Plasma,VSMC,2.07,1.0,1.3,22,2666
HK2753,Control,unassessed,Plasma,EC_Peritub,0.19,0.0,-0.45,22,17844
HK2753,Control,unassessed,Plasma,EC_DVR,2.11,1.0,-0.96,22,1150
HK2753,Control,unassessed,Myeloid,CD4 T,14.28,1.0,0.55,2796,987
HK2753,Control,unassessed,Myeloid,CD8 T,9.74,1.0,-1.36,2796,653
HK2753,Control,unassessed,Myeloid,PT,-21.06,-1.0,2.47,2796,63796
HK2753,Control,unassessed,Myeloid,iPT,4.1,1.0,-0.45,2796,6266
HK2753,Control,unassessed,Myeloid,TAL,-7.03,-1.0,-0.42,2796,4980
HK2753,Control,unassessed,Myeloid,iTAL,-0.58,0.0,-0.89,2796,2865
HK2753,Control,unassessed,Myeloid,DCT,-15.04,-1.0,-0.55,2796,10278
HK2753,Control,unassessed,Myeloid,CNT,-17.83,-1.0,-0.11,2796,13577
HK2753,Control,unassessed,Myeloid,PC,-4.61,-1.0,-0.73,2796,4991
HK2753,Control,unassessed,Myeloid,IC A,-13.17,-1.0,-1.16,2796,8755
HK2753,Control,unassessed,Myeloid,Podo,-3.99,-1.0,1.05,2796,2242
HK2753,Control,unassessed,Myeloid,MC,-10.37,-1.0,-1.12,2796,3319
