sample_set,receptor,n_in,n_out,det_in_pct,det_out_pct,det_ratio,nCount_ratio,normExpr_ratio,ctrl_gene_ratio,verdict
POOLED,BAFF-R,3295,1424,36.6,26.69,1.37,1.12,1.29,1.28,nCount/ambient-inflation
POOLED,TACI,3458,2930,7.37,6.72,1.1,1.12,0.99,1.52,null
POOLED,BCMA,163,1506,14.72,12.08,1.22,0.92,1.3,1.34,nCount/ambient-inflation
1006,BAFF-R,882,268,46.94,37.69,1.25,1.02,1.3,1.03,aggregate-upregulated
1006,TACI,923,408,11.48,12.99,0.88,0.98,0.74,1.08,null
1006,BCMA,41,140,26.83,25.0,1.07,0.86,1.55,1.28,null
HK2695,BAFF-R,1654,381,29.63,21.26,1.39,1.11,1.2,1.23,nCount/ambient-inflation
HK2695,TACI,1738,1335,2.24,3.3,0.68,1.0,0.65,1.58,null
HK2695,BCMA,84,954,7.14,9.12,0.78,0.71,1.05,1.31,null
1007,BAFF-R,446,597,47.31,25.13,1.88,1.64,1.39,1.5,aggregate-upregulated
1007,TACI,456,957,9.87,7.31,1.35,1.51,0.84,1.82,nCount/ambient-inflation
1007,BCMA,10,360,40.0,14.17,2.82,1.47,3.05,1.19,aggregate-upregulated
1009,BAFF-R,313,178,29.07,26.97,1.08,0.98,1.16,1.06,null
1009,TACI,341,230,19.06,13.04,1.46,0.99,2.0,1.11,aggregate-upregulated
1009,BCMA,28,52,10.71,17.31,0.62,1.01,0.33,1.38,null
