row_0,DCT,EC,Fibroblast,IC,Immune,MC,PC/CNT,PEC,PT,Podo,TAL,VSMC,iPT,iTAL
DCT,0.8744006705783739,0.0019792896643702376,0.00012137500541852703,0.006600539712639486,0.00039727958077545193,0.00013663691018400438,0.007892827779658558,0.0007215829250693099,0.0006683826561811175,0.000132890365448505,0.0036068984028989398,0.0,0.0001668251505596984,0.00412478475031036
DTL_ATL,0.0005364626990779547,0.000722058461250945,0.00019073215137197105,0.00010940121070673183,0.0001891807527502152,4.554563672800146e-05,0.0007157711466847221,0.3674755991037181,0.0002038330086226103,0.0009302325581395349,0.0010233525701248154,0.0,0.002969487679962631,0.012734772335909654
EC,0.0006370494551550713,0.7774021186044734,0.018344965104685942,0.001458682809423091,0.0029323016676283354,0.4093186372745491,0.00028050490883590464,0.0011393414606357525,0.0011234516986874101,0.00850498338870432,0.0007046034089383975,0.10570852047126213,0.0006506180871828237,0.00018020904248928758
Fibroblast,0.0011399832355406538,0.04320458039908596,0.9123759157310677,0.002224491284370214,0.02227603363633784,0.058799417015849884,0.0002901774918992117,0.005392882913675895,0.003142820574809084,0.010498338870431894,0.0025499932894913436,0.33359369914730197,0.002602472348731295,0.0009010452124464379
IC,0.002984073763621123,0.0014016428953694815,0.00017339286488361004,0.9456275982787543,0.00021755786566274746,4.554563672800146e-05,0.03848720800889878,0.0002278682921271505,0.00028441815156643295,0.0,0.0004194067910347604,0.0,0.0001668251505596984,0.0001601858155460334
Immune,0.0007711651299245599,0.027098429310476645,0.010282196887598075,0.0010940121070673182,0.9271275740406171,0.007788303880488249,0.00014508874594960585,0.0014051878014507615,0.0020098882710694595,0.0022591362126245847,0.00045295933431754127,0.0016923777907960685,0.0006339355721268539,0.0003203716310920668
MC,3.352891869237217e-05,0.0014696013387813353,0.00483766093025272,0.00010940121070673183,9.45903763751076e-05,0.4970395336126799,9.672583063307056e-06,0.0006836048763814515,4.7403025261072165e-05,0.005980066445182724,3.355254328278084e-05,0.02278200872225477,0.00010009509033581902,2.0023226943254175e-05
PC/CNT,0.10551550712489523,0.0037801884147843595,0.0005721964541159131,0.03245569250966377,0.000945903763751076,0.0002277281836400073,0.9471199883929003,0.01200106338536326,0.0011139710936351958,0.0015946843853820599,0.002080257683532412,0.00013018290698431297,0.0022020919873880188,0.017660486163950183
PEC,0.0,0.000925933791486506,0.0009623304001040357,7.293414047115454e-05,0.0001418855645626614,0.0005465476407360175,2.9017749189921167e-05,0.2173863506893016,0.00012324786567878763,0.009036544850498339,5.032881492417125e-05,0.00045564017444509535,0.012895584138264684,0.0026630891834528055
PT,0.001341156747694887,0.05805350028457598,0.009597295071307816,0.0033914375319086866,0.03190533395132379,0.002596101293496083,0.000686753397494801,0.004747256085982302,0.9252975724910764,0.0015946843853820599,0.0020467051402496307,0.003710212849052919,0.02904425871244349,0.0007408593969004044
Podo,0.0,0.000288823384500378,2.6008929732541506e-05,3.646707023557727e-05,0.0,0.003097103297504099,0.0,0.0006836048763814515,9.480605052214432e-06,0.9540199335548173,0.0,6.509145349215648e-05,3.336503011193968e-05,0.0
TAL,0.0059346186085498746,0.004723111817123829,0.0015431964974641293,0.0006199401940048137,0.0008513133873759684,0.0002277281836400073,0.00023214199351936934,0.0020508146291443544,0.0010570874633219092,0.000132890365448505,0.9300429472554019,0.001627286337303912,0.0004504279065111856,0.37373353089583916
VSMC,0.0,0.0018178883612670852,0.033386796133339114,0.0,0.00017972171511270444,0.01375478229185644,9.672583063307056e-06,0.0006456268276935931,7.110453789160824e-05,0.0007973421926910299,0.0,0.5260691271236086,0.00020019018067163804,0.0
iPT,0.002145850796311819,0.07237574223362414,0.006675625298018986,0.005579461746043323,0.011227877675725272,0.005556567680816178,0.0016443391207621996,0.2393756408795716,0.06268102030271572,0.00425249169435216,0.00322104415514696,0.003710212849052919,0.9370735532088817,0.005346201593848864
iTAL,0.004559932942162615,0.004757091038829756,0.0009103125406389527,0.0006199401940048137,0.0015134460220017215,0.0008198214611040263,0.002456836098079992,0.14606357525350347,0.002166318254430998,0.00026578073089701,0.053767950610656284,0.00045564017444509535,0.010810269756268455,0.5814144407512715
