row_0,DCT,EC,Fibroblast,IC,Immune,MC,PC/CNT,PEC,PT,Podo,TAL,VSMC,iPT,iTAL
DCT,0.9327253218884121,0.008333333333333333,0.0005007153075822603,0.0064735336194563665,0.0015021459227467812,0.00010729613733905579,0.029184549356223177,0.0006795422031473533,0.0050429184549356226,3.57653791130186e-05,0.007689556509298999,0.0,0.000357653791130186,0.007367668097281831
DTL_ATL,0.0014784697837737942,0.007854370726298281,0.002032895952688967,0.0002772130844575864,0.0018480872297172426,9.240436148586214e-05,0.006837922749953798,0.894104601737202,0.003973387543892072,0.000646830530401035,0.00563666605063759,0.0,0.01644797634448346,0.05876917390500832
EC,0.00018084731727282245,0.8710653810643341,0.02014068017627854,0.00038073119425857357,0.0029506667555039452,0.08554078107004502,0.00027603011583746584,0.0002855483956939302,0.0022558323259820484,0.0006091699108137177,0.0003997677539715023,0.015457686486898088,0.00037121291440210926,8.566451870817906e-05
Fibroblast,0.00028225839926280746,0.042222535842665845,0.8736561594593921,0.0005064047751479782,0.019550545007762106,0.010717517454361307,0.0002490515287613007,0.0011788439028034901,0.005504038785624746,0.0006558356924047585,0.001261861079057257,0.04254630283005554,0.0012950679495587637,0.0003735772931419511
IC,0.002935646666886565,0.005442491011643632,0.0006596958801992281,0.8553286934723092,0.0007586502622291124,3.2984794009961406e-05,0.13124649536563643,0.00019790876405976845,0.0019790876405976843,0.0,0.0008246198502490352,0.0,0.00032984794009961407,0.00026387835207969124
Immune,0.0002228358281257569,0.03090636050961585,0.011490577919875986,0.0002906554279901177,0.9496197258150463,0.001656735939543671,0.00014532771399505885,0.0003584750278544785,0.004107930048926997,0.00016470474252773336,0.00026158988519110597,0.00025190137092476867,0.00036816354212081576,0.00015501622826139612
MC,8.270614506657845e-05,0.014308163096518072,0.04615002894715077,0.0002481184351997353,0.0008270614506657845,0.9025721611115706,8.270614506657845e-05,0.001488710611198412,0.0008270614506657845,0.00372177652799603,0.0001654122901331569,0.028947150773302455,0.0004962368703994706,8.270614506657845e-05
PC/CNT,0.030180102422463894,0.004267602662216851,0.0006329478105759826,0.008535205324433703,0.0009590118342060341,4.795059171030171e-05,0.9390452078178645,0.0030304773960910677,0.0022536778103841803,0.0001150814201047241,0.0011891746744154823,1.9180236684120683e-05,0.001265895621151965,0.008458484377697221
PEC,0.0,0.015602633839106785,0.01588892069853994,0.000286286859433152,0.00214715144574864,0.0017177211565989122,0.00042943028914972805,0.819352991697681,0.0037217291726309764,0.009733753220727169,0.00042943028914972805,0.001002004008016032,0.11064987117091325,0.01903807615230461
PT,0.00019150942944553233,0.032719386020769195,0.005300023459905107,0.00044525942346086266,0.016149032637994512,0.00027290093695988356,0.0003399292372658199,0.0005984669670172885,0.9345564402227254,5.7452828833659696e-05,0.0005841037598088736,0.00027290093695988356,0.008335447916616794,0.0001771462222371174
Podo,0.0,0.004652435686918446,0.00041050903119868636,0.00013683634373289546,0.0,0.009304871373836891,0.0,0.0024630541871921183,0.0002736726874657909,0.9823481116584565,0.0,0.00013683634373289546,0.0002736726874657909,0.0
TAL,0.002344992050874404,0.007366189719130896,0.002358240593534711,0.00022522522522522523,0.0011923688394276629,6.624271330153684e-05,0.0003179650238473768,0.0007154213036565977,0.0029544250132485426,1.3248542660307367e-05,0.7344727080021197,0.00033121356650768415,0.00035771065182829887,0.247284048754637
VSMC,0.0,0.017094017094017096,0.3076124291077562,0.0,0.0015176931064781532,0.024123332534547487,7.987858455148175e-05,0.0013579359373751896,0.0011981787682722263,0.0004792715073088905,0.0,0.6455787203450755,0.000958543014617781,0.0
iPT,0.0007336841260561039,0.09767169928121883,0.0088271371416125,0.0017539636138528734,0.013607547775446802,0.001398585365294448,0.001948848459836526,0.07225642260205661,0.15158601873187286,0.00036684206302805194,0.0022010523781683116,0.0006534374247687176,0.6439339225733971,0.0030608384633903085
iTAL,0.003536877145532092,0.01456361177572038,0.002730677207947571,0.0004421096431915115,0.004161031935920108,0.00046811609279101215,0.006605638198273172,0.10002080515967961,0.011884947466971808,5.2012899199001353e-05,0.08335067096639967,0.00018204514719650472,0.016852179340476437,0.7551492770207011
