non_immune,immune,mean_z,n_sec,k_enrich,k_avoid,dataset
Tubular_epi,B,-3.0,9,0,5,RCC
Tubular_epi,Plasma,-5.19,9,0,6,RCC
Tubular_epi,Myeloid,2.47,9,5,1,RCC
Tubular_epi,T_lineage,2.35,9,3,1,RCC
Tubular_epi,NK,,0,0,0,RCC
Malignant_epi,B,-12.41,18,0,14,RCC
Malignant_epi,Plasma,-14.72,18,0,14,RCC
Malignant_epi,Myeloid,1.14,18,8,8,RCC
Malignant_epi,T_lineage,-11.38,18,0,12,RCC
Malignant_epi,NK,,0,0,0,RCC
Endothelial,B,-27.15,9,0,8,RCC
Endothelial,Plasma,-10.36,9,0,9,RCC
Endothelial,Myeloid,-35.92,9,0,9,RCC
Endothelial,T_lineage,-40.53,9,0,9,RCC
Endothelial,NK,,0,0,0,RCC
Stroma,B,-31.83,9,0,7,RCC
Stroma,Plasma,-6.3,9,1,4,RCC
Stroma,Myeloid,-28.61,9,0,9,RCC
Stroma,T_lineage,-29.01,9,0,9,RCC
Stroma,NK,,0,0,0,RCC
Podocyte,B,,0,0,0,RCC
Podocyte,Plasma,,0,0,0,RCC
Podocyte,Myeloid,,0,0,0,RCC
Podocyte,T_lineage,,0,0,0,RCC
Podocyte,NK,,0,0,0,RCC
Malignant_epi,B,-12.41,18,0,14,RCC
Malignant_epi,Plasma,-14.72,18,0,14,RCC
Malignant_epi,Myeloid,1.14,18,8,8,RCC
Malignant_epi,T_lineage,-11.38,18,0,12,RCC
Malignant_epi,NK,,0,0,0,RCC
Tubular_epi,B,-6.35,1,0,1,PRCC
Tubular_epi,Plasma,-21.54,1,0,1,PRCC
Tubular_epi,Myeloid,-35.72,1,0,1,PRCC
Tubular_epi,T_lineage,-50.91,1,0,1,PRCC
Tubular_epi,NK,-11.2,1,0,1,PRCC
Malignant_epi,B,-14.96,2,0,2,PRCC
Malignant_epi,Plasma,-19.83,2,0,2,PRCC
Malignant_epi,Myeloid,-13.44,2,0,2,PRCC
Malignant_epi,T_lineage,-17.31,2,0,2,PRCC
Malignant_epi,NK,-10.91,2,0,2,PRCC
Endothelial,B,-15.18,1,0,1,PRCC
Endothelial,Plasma,-16.05,1,0,1,PRCC
Endothelial,Myeloid,-41.83,1,0,1,PRCC
Endothelial,T_lineage,-59.77,1,0,1,PRCC
Endothelial,NK,8.0,1,1,0,PRCC
Stroma,B,-10.49,1,0,1,PRCC
Stroma,Plasma,20.95,1,1,0,PRCC
Stroma,Myeloid,-41.38,1,0,1,PRCC
Stroma,T_lineage,-78.01,1,0,1,PRCC
Stroma,NK,7.15,1,1,0,PRCC
Podocyte,B,,0,0,0,PRCC
Podocyte,Plasma,,0,0,0,PRCC
Podocyte,Myeloid,,0,0,0,PRCC
Podocyte,T_lineage,,0,0,0,PRCC
Podocyte,NK,,0,0,0,PRCC
Malignant_epi,B,-14.96,2,0,2,PRCC
Malignant_epi,Plasma,-19.83,2,0,2,PRCC
Malignant_epi,Myeloid,-13.44,2,0,2,PRCC
Malignant_epi,T_lineage,-17.31,2,0,2,PRCC
Malignant_epi,NK,-10.91,2,0,2,PRCC
Tubular_epi,B,-11.52,12,0,10,cLN
Tubular_epi,Plasma,-13.34,10,0,10,cLN
Tubular_epi,Myeloid,-23.28,14,0,13,cLN
Tubular_epi,T_lineage,-1.94,12,2,6,cLN
Tubular_epi,NK,-1.2,5,0,2,cLN
Malignant_epi,B,,0,0,0,cLN
Malignant_epi,Plasma,,0,0,0,cLN
Malignant_epi,Myeloid,,0,0,0,cLN
Malignant_epi,T_lineage,,0,0,0,cLN
Malignant_epi,NK,,0,0,0,cLN
Endothelial,B,0.61,12,3,3,cLN
Endothelial,Plasma,-0.86,10,1,2,cLN
Endothelial,Myeloid,14.03,14,13,0,cLN
Endothelial,T_lineage,-0.36,12,3,3,cLN
Endothelial,NK,0.98,5,2,0,cLN
Stroma,B,1.16,12,5,1,cLN
Stroma,Plasma,4.43,10,7,0,cLN
Stroma,Myeloid,12.16,14,14,0,cLN
Stroma,T_lineage,-1.13,12,3,5,cLN
Stroma,NK,-0.15,5,1,1,cLN
Podocyte,B,-0.23,12,2,3,cLN
Podocyte,Plasma,-0.69,10,1,2,cLN
Podocyte,Myeloid,6.18,14,9,0,cLN
Podocyte,T_lineage,-1.21,12,1,4,cLN
Podocyte,NK,1.19,5,2,0,cLN
Tubular_epi,B,-26.06,21,0,21,DKD
Tubular_epi,Plasma,-13.42,16,0,16,DKD
Tubular_epi,Myeloid,-30.03,28,0,28,DKD
Tubular_epi,T_lineage,-37.67,28,0,28,DKD
Tubular_epi,NK,-8.06,23,0,23,DKD
Malignant_epi,B,,0,0,0,DKD
Malignant_epi,Plasma,,0,0,0,DKD
Malignant_epi,Myeloid,,0,0,0,DKD
Malignant_epi,T_lineage,,0,0,0,DKD
Malignant_epi,NK,,0,0,0,DKD
Endothelial,B,-4.32,21,4,12,DKD
Endothelial,Plasma,-2.11,16,0,7,DKD
Endothelial,Myeloid,2.89,28,13,7,DKD
Endothelial,T_lineage,-1.47,28,12,13,DKD
Endothelial,NK,5.28,23,18,0,DKD
Stroma,B,-3.27,21,6,8,DKD
Stroma,Plasma,3.99,16,10,0,DKD
Stroma,Myeloid,18.62,28,28,0,DKD
Stroma,T_lineage,10.13,28,23,4,DKD
Stroma,NK,2.25,23,13,0,DKD
Podocyte,B,-2.79,17,1,10,DKD
Podocyte,Plasma,-1.76,12,0,5,DKD
Podocyte,Myeloid,-4.47,24,0,20,DKD
Podocyte,T_lineage,-4.01,24,1,17,DKD
Podocyte,NK,3.59,19,8,1,DKD
Injured_epi,B,-11.56,21,3,16,DKD
Injured_epi,Plasma,-4.44,16,0,11,DKD
Injured_epi,Myeloid,-5.45,28,11,15,DKD
Injured_epi,T_lineage,-11.8,28,8,14,DKD
Injured_epi,NK,-3.29,23,0,14,DKD
