non_immune,immune,z_RCC,z_PRCC,z_cLN,z_DKD,st_RCC,st_PRCC,st_cLN,st_DKD,classification
Tubular_epi,B,-3.0,-6.4,-11.5,-26.1,AVOID,AVOID,AVOID,AVOID,CONSERVED-avoid
Tubular_epi,Plasma,-5.2,-21.5,-13.3,-13.4,AVOID,AVOID,AVOID,AVOID,CONSERVED-avoid
Tubular_epi,Myeloid,2.5,-35.7,-23.3,-30.0,ENRICH,AVOID,AVOID,AVOID,DISCORDANT
Tubular_epi,T_lineage,2.4,-50.9,-1.9,-37.7,ns,AVOID,ns,AVOID,CONSERVED-avoid
Tubular_epi,NK,,-11.2,-1.2,-8.1,untested,AVOID,ns,AVOID,CONSERVED-avoid
Malignant_epi,B,-12.4,-15.0,,,AVOID,AVOID,untested,untested,CONSERVED-avoid
Malignant_epi,Plasma,-14.7,-19.8,,,AVOID,AVOID,untested,untested,CONSERVED-avoid
Malignant_epi,Myeloid,1.1,-13.4,,,ns,AVOID,untested,untested,ns-all
Malignant_epi,T_lineage,-11.4,-17.3,,,AVOID,AVOID,untested,untested,CONSERVED-avoid
Malignant_epi,NK,,-10.9,,,untested,AVOID,untested,untested,insufficient
Endothelial,B,-27.2,-15.2,0.6,-4.3,AVOID,AVOID,ns,AVOID,CONSERVED-avoid
Endothelial,Plasma,-10.4,-16.0,-0.9,-2.1,AVOID,AVOID,ns,ns,CONSERVED-avoid
Endothelial,Myeloid,-35.9,-41.8,14.0,2.9,AVOID,AVOID,ENRICH,ns,DISCORDANT
Endothelial,T_lineage,-40.5,-59.8,-0.4,-1.5,AVOID,AVOID,ns,ns,CONSERVED-avoid
Endothelial,NK,,8.0,1.0,5.3,untested,ENRICH,ns,ENRICH,CONSERVED-enrich
Stroma,B,-31.8,-10.5,1.2,-3.3,AVOID,AVOID,ns,ns,CONSERVED-avoid
Stroma,Plasma,-6.3,21.0,4.4,4.0,ns,ENRICH,ENRICH,ENRICH,CONSERVED-enrich
Stroma,Myeloid,-28.6,-41.4,12.2,18.6,AVOID,AVOID,ENRICH,ENRICH,DISCORDANT
Stroma,T_lineage,-29.0,-78.0,-1.1,10.1,AVOID,AVOID,ns,ENRICH,DISCORDANT
Stroma,NK,,7.2,-0.2,2.2,untested,ENRICH,ns,ENRICH,CONSERVED-enrich
Podocyte,B,,,-0.2,-2.8,untested,untested,ns,AVOID,ns-all
Podocyte,Plasma,,,-0.7,-1.8,untested,untested,ns,ns,ns-all
Podocyte,Myeloid,,,6.2,-4.5,untested,untested,ENRICH,AVOID,DISCORDANT
Podocyte,T_lineage,,,-1.2,-4.0,untested,untested,ns,AVOID,ns-all
Podocyte,NK,,,1.2,3.6,untested,untested,ns,ns,ns-all
