non_immune,immune,mean_z,n_sec,k_enrich,k_avoid,dataset
Tubular_epi,B,-26.06,21,0,21,DKD
Tubular_epi,Plasma,-13.42,16,0,16,DKD
Tubular_epi,Myeloid,-30.03,28,0,28,DKD
Tubular_epi,T_lineage,-37.67,28,0,28,DKD
Tubular_epi,NK,-8.06,23,0,23,DKD
Malignant_epi,B,,0,0,0,DKD
Malignant_epi,Plasma,,0,0,0,DKD
Malignant_epi,Myeloid,,0,0,0,DKD
Malignant_epi,T_lineage,,0,0,0,DKD
Malignant_epi,NK,,0,0,0,DKD
Endothelial,B,-4.32,21,4,12,DKD
Endothelial,Plasma,-2.11,16,0,7,DKD
Endothelial,Myeloid,2.89,28,13,7,DKD
Endothelial,T_lineage,-1.47,28,12,13,DKD
Endothelial,NK,5.28,23,18,0,DKD
Stroma,B,-3.27,21,6,8,DKD
Stroma,Plasma,3.99,16,10,0,DKD
Stroma,Myeloid,18.62,28,28,0,DKD
Stroma,T_lineage,10.13,28,23,4,DKD
Stroma,NK,2.25,23,13,0,DKD
Podocyte,B,-2.79,17,1,10,DKD
Podocyte,Plasma,-1.76,12,0,5,DKD
Podocyte,Myeloid,-4.47,24,0,20,DKD
Podocyte,T_lineage,-4.01,24,1,17,DKD
Podocyte,NK,3.59,19,8,1,DKD
Injured_epi,B,-11.56,21,3,16,DKD
Injured_epi,Plasma,-4.44,16,0,11,DKD
Injured_epi,Myeloid,-5.45,28,11,15,DKD
Injured_epi,T_lineage,-11.8,28,8,14,DKD
Injured_epi,NK,-3.29,23,0,14,DKD
