non_immune,immune,mean_z,n_sec,k_enrich,k_avoid,dataset
Tubular_epi,B,-26.06,21,0,21,DKD_fine
Tubular_epi,Plasma,-13.42,16,0,16,DKD_fine
Tubular_epi,Myeloid,-30.03,28,0,28,DKD_fine
Tubular_epi,CD4T,-27.45,28,0,28,DKD_fine
Tubular_epi,CD8T,-25.1,28,0,28,DKD_fine
Tubular_epi,NK,-8.06,23,0,23,DKD_fine
Malignant_epi,B,,0,0,0,DKD_fine
Malignant_epi,Plasma,,0,0,0,DKD_fine
Malignant_epi,Myeloid,,0,0,0,DKD_fine
Malignant_epi,CD4T,,0,0,0,DKD_fine
Malignant_epi,CD8T,,0,0,0,DKD_fine
Malignant_epi,NK,,0,0,0,DKD_fine
Endothelial,B,-4.32,21,4,12,DKD_fine
Endothelial,Plasma,-2.11,16,0,7,DKD_fine
Endothelial,Myeloid,2.89,28,13,7,DKD_fine
Endothelial,CD4T,-1.48,28,10,12,DKD_fine
Endothelial,CD8T,-0.47,28,10,12,DKD_fine
Endothelial,NK,5.28,23,18,0,DKD_fine
Stroma,B,-3.27,21,6,8,DKD_fine
Stroma,Plasma,3.99,16,10,0,DKD_fine
Stroma,Myeloid,18.62,28,28,0,DKD_fine
Stroma,CD4T,5.96,28,21,4,DKD_fine
Stroma,CD8T,8.41,28,23,0,DKD_fine
Stroma,NK,2.25,23,13,0,DKD_fine
Podocyte,B,-2.79,17,1,10,DKD_fine
Podocyte,Plasma,-1.76,12,0,5,DKD_fine
Podocyte,Myeloid,-4.47,24,0,20,DKD_fine
Podocyte,CD4T,-2.71,24,1,14,DKD_fine
Podocyte,CD8T,-2.86,24,0,14,DKD_fine
Podocyte,NK,3.59,19,8,1,DKD_fine
