non_immune,immune,mean_z,n_sec,k_enrich,k_avoid,dataset
Tubular_epi,B,-6.35,1,0,1,PRCC
Tubular_epi,Plasma,-21.54,1,0,1,PRCC
Tubular_epi,Myeloid,-35.72,1,0,1,PRCC
Tubular_epi,T_lineage,-50.91,1,0,1,PRCC
Tubular_epi,NK,-11.2,1,0,1,PRCC
Malignant_epi,B,-14.96,2,0,2,PRCC
Malignant_epi,Plasma,-19.83,2,0,2,PRCC
Malignant_epi,Myeloid,-13.44,2,0,2,PRCC
Malignant_epi,T_lineage,-17.31,2,0,2,PRCC
Malignant_epi,NK,-10.91,2,0,2,PRCC
Endothelial,B,-15.18,1,0,1,PRCC
Endothelial,Plasma,-16.05,1,0,1,PRCC
Endothelial,Myeloid,-41.83,1,0,1,PRCC
Endothelial,T_lineage,-59.77,1,0,1,PRCC
Endothelial,NK,8.0,1,1,0,PRCC
Stroma,B,-10.49,1,0,1,PRCC
Stroma,Plasma,20.95,1,1,0,PRCC
Stroma,Myeloid,-41.38,1,0,1,PRCC
Stroma,T_lineage,-78.01,1,0,1,PRCC
Stroma,NK,7.15,1,1,0,PRCC
Podocyte,B,,0,0,0,PRCC
Podocyte,Plasma,,0,0,0,PRCC
Podocyte,Myeloid,,0,0,0,PRCC
Podocyte,T_lineage,,0,0,0,PRCC
Podocyte,NK,,0,0,0,PRCC
Malignant_epi,B,-14.96,2,0,2,PRCC
Malignant_epi,Plasma,-19.83,2,0,2,PRCC
Malignant_epi,Myeloid,-13.44,2,0,2,PRCC
Malignant_epi,T_lineage,-17.31,2,0,2,PRCC
Malignant_epi,NK,-10.91,2,0,2,PRCC
