non_immune,immune,mean_z,n_sec,k_enrich,k_avoid,dataset
Tubular_epi,B,-3.0,9,0,5,RCC
Tubular_epi,Plasma,-5.19,9,0,6,RCC
Tubular_epi,Myeloid,2.47,9,5,1,RCC
Tubular_epi,T_lineage,2.35,9,3,1,RCC
Tubular_epi,NK,,0,0,0,RCC
Malignant_epi,B,-12.41,18,0,14,RCC
Malignant_epi,Plasma,-14.72,18,0,14,RCC
Malignant_epi,Myeloid,1.14,18,8,8,RCC
Malignant_epi,T_lineage,-11.38,18,0,12,RCC
Malignant_epi,NK,,0,0,0,RCC
Endothelial,B,-27.15,9,0,8,RCC
Endothelial,Plasma,-10.36,9,0,9,RCC
Endothelial,Myeloid,-35.92,9,0,9,RCC
Endothelial,T_lineage,-40.53,9,0,9,RCC
Endothelial,NK,,0,0,0,RCC
Stroma,B,-31.83,9,0,7,RCC
Stroma,Plasma,-6.3,9,1,4,RCC
Stroma,Myeloid,-28.61,9,0,9,RCC
Stroma,T_lineage,-29.01,9,0,9,RCC
Stroma,NK,,0,0,0,RCC
Podocyte,B,,0,0,0,RCC
Podocyte,Plasma,,0,0,0,RCC
Podocyte,Myeloid,,0,0,0,RCC
Podocyte,T_lineage,,0,0,0,RCC
Podocyte,NK,,0,0,0,RCC
Malignant_epi,B,-12.41,18,0,14,RCC
Malignant_epi,Plasma,-14.72,18,0,14,RCC
Malignant_epi,Myeloid,1.14,18,8,8,RCC
Malignant_epi,T_lineage,-11.38,18,0,12,RCC
Malignant_epi,NK,,0,0,0,RCC
