non_immune,immune,mean_z,n_sec,k_enrich,k_avoid,dataset
Tubular_epi,B,-3.0,9,0,5,RCC_fine
Tubular_epi,Plasma,-5.19,9,0,6,RCC_fine
Tubular_epi,Myeloid,2.55,9,5,1,RCC_fine
Tubular_epi,Treg,-3.53,9,0,6,RCC_fine
Tubular_epi,CD8eff,5.22,9,7,0,RCC_fine
Tubular_epi,NK,,0,0,0,RCC_fine
Tubular_epi,mregDC,-0.37,9,0,0,RCC_fine
Malignant_epi,B,-12.41,18,0,14,RCC_fine
Malignant_epi,Plasma,-14.72,18,0,14,RCC_fine
Malignant_epi,Myeloid,1.41,18,10,8,RCC_fine
Malignant_epi,Treg,-17.4,18,0,18,RCC_fine
Malignant_epi,CD8eff,0.73,18,8,6,RCC_fine
Malignant_epi,NK,,0,0,0,RCC_fine
Malignant_epi,mregDC,-1.44,18,2,10,RCC_fine
Endothelial,B,-27.15,9,0,8,RCC_fine
Endothelial,Plasma,-10.36,9,0,9,RCC_fine
Endothelial,Myeloid,-34.94,9,0,9,RCC_fine
Endothelial,Treg,-20.3,9,0,9,RCC_fine
Endothelial,CD8eff,-30.61,9,0,9,RCC_fine
Endothelial,NK,,0,0,0,RCC_fine
Endothelial,mregDC,-6.1,9,0,8,RCC_fine
Stroma,B,-31.83,9,0,7,RCC_fine
Stroma,Plasma,-6.3,9,1,4,RCC_fine
Stroma,Myeloid,-27.49,9,0,8,RCC_fine
Stroma,Treg,-14.64,9,0,8,RCC_fine
Stroma,CD8eff,-21.03,9,0,9,RCC_fine
Stroma,NK,,0,0,0,RCC_fine
Stroma,mregDC,-7.41,9,0,9,RCC_fine
Podocyte,B,,0,0,0,RCC_fine
Podocyte,Plasma,,0,0,0,RCC_fine
Podocyte,Myeloid,,0,0,0,RCC_fine
Podocyte,Treg,,0,0,0,RCC_fine
Podocyte,CD8eff,,0,0,0,RCC_fine
Podocyte,NK,,0,0,0,RCC_fine
Podocyte,mregDC,,0,0,0,RCC_fine
Malignant_epi,B,-12.41,18,0,14,RCC_fine
Malignant_epi,Plasma,-14.72,18,0,14,RCC_fine
Malignant_epi,Myeloid,1.41,18,10,8,RCC_fine
Malignant_epi,Treg,-17.4,18,0,18,RCC_fine
Malignant_epi,CD8eff,0.73,18,8,6,RCC_fine
Malignant_epi,NK,,0,0,0,RCC_fine
Malignant_epi,mregDC,-1.44,18,2,10,RCC_fine
