non_immune,immune,mean_z,n_sec,k_enrich,k_avoid,dataset
Tubular_epi,B,-11.52,12,0,10,cLN
Tubular_epi,Plasma,-13.34,10,0,10,cLN
Tubular_epi,Myeloid,-23.28,14,0,13,cLN
Tubular_epi,T_lineage,-1.94,12,2,6,cLN
Tubular_epi,NK,-1.2,5,0,2,cLN
Malignant_epi,B,,0,0,0,cLN
Malignant_epi,Plasma,,0,0,0,cLN
Malignant_epi,Myeloid,,0,0,0,cLN
Malignant_epi,T_lineage,,0,0,0,cLN
Malignant_epi,NK,,0,0,0,cLN
Endothelial,B,0.61,12,3,3,cLN
Endothelial,Plasma,-0.86,10,1,2,cLN
Endothelial,Myeloid,14.03,14,13,0,cLN
Endothelial,T_lineage,-0.36,12,3,3,cLN
Endothelial,NK,0.98,5,2,0,cLN
Stroma,B,1.16,12,5,1,cLN
Stroma,Plasma,4.43,10,7,0,cLN
Stroma,Myeloid,12.16,14,14,0,cLN
Stroma,T_lineage,-1.13,12,3,5,cLN
Stroma,NK,-0.15,5,1,1,cLN
Podocyte,B,-0.23,12,2,3,cLN
Podocyte,Plasma,-0.69,10,1,2,cLN
Podocyte,Myeloid,6.18,14,9,0,cLN
Podocyte,T_lineage,-1.21,12,1,4,cLN
Podocyte,NK,1.19,5,2,0,cLN
