cohort,module,bin,mean,n
RCC_big,endo_activation,0-50,-0.223,10403
RCC_big,endo_activation,50-100,-0.206,3806
RCC_big,endo_activation,100-200,-0.208,5463
RCC_big,endo_activation,200-500,-0.167,10876
RCC_big,endo_activation,>500,0.167,36293
RCC_big,inflammatory,0-50,-0.215,10403
RCC_big,inflammatory,50-100,-0.149,3806
RCC_big,inflammatory,100-200,-0.12,5463
RCC_big,inflammatory,200-500,0.013,10876
RCC_big,inflammatory,>500,0.091,36293
RCC_figshare,endo_activation,0-50,-0.551,3133
RCC_figshare,endo_activation,50-100,-0.497,2144
RCC_figshare,endo_activation,100-200,-0.41,5227
RCC_figshare,endo_activation,200-500,-0.276,19077
RCC_figshare,endo_activation,>500,-0.164,61372
RCC_figshare,inflammatory,0-50,0.023,3133
RCC_figshare,inflammatory,50-100,0.105,2144
RCC_figshare,inflammatory,100-200,0.155,5227
RCC_figshare,inflammatory,200-500,0.192,19077
RCC_figshare,inflammatory,>500,0.139,61372
DKD,inflammatory,0-50,-0.071,734
DKD,inflammatory,50-100,-0.002,461
DKD,inflammatory,100-200,-0.107,1097
DKD,inflammatory,200-500,-0.1,4101
DKD,inflammatory,>500,-0.018,24008
