cohort,gene,endo_detect,usable
RCC_big,ANGPT2,0.2036,True
RCC_big,CXCL9,0.1318,True
RCC_big,CXCL10,0.1021,True
RCC_big,HLA-DRA,0.7577,True
RCC_big,PECAM1,0.9197,True
RCC_big,VWF,0.6167,True
RCC_figshare,ANGPT2,0.3964,True
RCC_figshare,CXCL9,0.1543,True
RCC_figshare,CXCL10,0.0617,True
RCC_figshare,HLA-DRA,0.7802,True
RCC_figshare,PECAM1,0.884,True
RCC_figshare,VWF,0.7723,True
DKD,ANGPT2,0.0131,False
DKD,CXCL9,0.0053,False
DKD,CXCL10,0.0027,False
DKD,HLA-DRA,0.7187,True
DKD,PECAM1,0.7558,True
DKD,VWF,0.0,False
