gene,fails_in,maxdet_RCC_big,maxdet_RCC_figshare,maxdet_DKD
ACTG2,RCC_big;DKD,0.2479,0.1382,0.0
ADIPOQ,RCC_big;RCC_figshare;DKD,0.0107,0.0094,0.0029
AGR3,RCC_big;RCC_figshare;DKD,0.0085,0.0145,0.0048
ANGPT2,DKD,0.2036,0.3964,0.0131
AR,RCC_big;DKD,0.0123,0.2212,0.0428
CCL5,DKD,0.5927,0.4459,0.0
CCR7,DKD,0.1665,0.0488,0.0147
CD3D,DKD,0.5389,0.3349,0.0
CD69,DKD,0.2015,0.2056,0.0
CENPF,DKD,0.1346,0.0347,0.0029
CLIC6,DKD,0.029,0.1431,0.0248
CPA3,RCC_big;DKD,0.0161,0.0436,0.0
CTSG,RCC_big;RCC_figshare;DKD,0.0039,0.0114,0.0033
CXCL10,DKD,0.2289,0.1469,0.008
CXCL9,DKD,0.3033,0.3758,0.0248
DUSP2,DKD,0.1142,0.1087,0.0
FCER1A,RCC_big,0.0096,0.0299,0.0447
FOXA1,RCC_big;RCC_figshare;DKD,0.0021,0.0058,0.0025
FSTL3,DKD,0.1904,0.3325,0.0218
GDF15,RCC_big,0.0238,0.2439,0.1457
GNLY,DKD,0.1917,0.1133,0.0
GPR183,DKD,0.2478,0.2388,0.0
HLA-DRA,RCC_big;RCC_figshare,0.9575,0.9206,0.7187
IGF1,RCC_big;DKD,0.1063,0.093,0.0235
IL2RA,DKD,0.2579,0.069,0.0246
IL7R,DKD,0.33,0.3299,0.0
KIT,RCC_big,0.0171,0.0566,0.0693
KRT5,RCC_big;RCC_figshare;DKD,0.0197,0.0041,0.0
KRT7,DKD,0.1478,0.4948,0.0
KRT8,DKD,0.9642,0.7227,0.0
LILRA4,DKD,0.0539,0.0483,0.0039
LPL,RCC_big,0.0052,0.1495,0.0434
MDM2,RCC_big;RCC_figshare,0.532,0.7633,0.1844
MKI67,RCC_big;DKD,0.2537,0.0388,0.0015
MLPH,DKD,0.0337,0.0325,0.0105
MYH11,DKD,0.1098,0.2485,0.0
NCAM1,RCC_big;RCC_figshare,0.0247,0.0787,0.0508
NKG7,DKD,0.8191,0.7218,0.0
OPRPN,RCC_big;RCC_figshare;DKD,0.0109,0.0082,0.0016
PDCD1,RCC_figshare,0.0765,0.0108,0.0311
PTGDS,DKD,0.3816,0.1095,0.0
PTPRC,RCC_big;DKD,0.7618,0.6288,0.0
RAMP2,DKD,0.1585,0.3351,0.0
RTKN2,RCC_big;DKD,0.1765,0.0736,0.0191
SERPINB9,RCC_big;RCC_figshare,0.3439,0.2225,0.0448
SFRP4,DKD,0.1406,0.1254,0.0222
SNAI1,DKD,0.1075,0.0388,0.0184
SPIB,RCC_figshare;DKD,0.1253,0.0133,0.009
TAC1,RCC_big;DKD,0.0085,0.0264,0.0115
TCL1A,RCC_figshare;DKD,0.1233,0.0141,0.0036
TIMP4,DKD,0.0255,0.0424,0.0101
TOP2A,DKD,0.1567,0.0634,0.0028
VCAN,DKD,0.6615,0.4952,0.0
VIM,RCC_big;RCC_figshare;DKD,0.9847,0.8536,0.8544
VWF,DKD,0.6167,0.7723,0.0
