"cluster","Loop_of_Henle_TAL","Distal_tubule","Principal_CD","Endothelial","Stroma_mural","T_cell","NK_cell","B_cell","Plasma","Myeloid","DC","pDC","Mast","Neutrophil","Proliferating","Tumor_RCC","argmax","assigned","mean_mtrnr2l_frac","frac_lowq","n_cells"
"1",-0.186,-0.258,-0.191,-0.153,-0.214,-0.021,-0.057,-0.19,-0.106,-0.191,-0.06,-0.067,-0.071,-0.048,-0.105,-0.227,"T_cell","T_cell",0.001,0,89707
"2",-0.159,1.706,0.77,-0.141,-0.133,-0.05,-0.031,-0.06,-0.081,-0.15,-0.043,0.007,0.045,-0.059,-0.02,-0.034,"Distal_tubule","Distal_tubule",0.001,0,52839
"3",-0.037,-0.191,0.041,-0.049,-0.099,0.05,0.07,0.114,0.019,0.011,0.032,0.027,0.031,0.062,0.074,0.217,"Tumor_RCC","Tumor_RCC",0.001,0,52158
"4",0.764,0.035,-0.091,-0.159,-0.126,-0.071,-0.05,-0.08,-0.083,-0.15,-0.068,-0.024,-0.057,-0.069,-0.03,-0.005,"Loop_of_Henle_TAL","Loop_of_Henle_TAL",0.001,0,43346
"5",-0.225,-0.239,-0.149,0.668,-0.007,-0.063,-0.036,0.187,-0.099,-0.046,-0.083,-0.075,-0.086,-0.047,-0.055,-0.107,"Endothelial","Endothelial",0,0,41359
"6",0.274,-0.092,0.085,0.171,0.066,0.207,0.306,0.175,0.343,0.169,0.227,0.37,0.339,0.323,0.255,0.257,"pDC","pDC",0.001,0,33058
"7",-0.267,-0.286,-0.237,-0.193,0.361,-0.144,-0.161,-0.191,-0.191,-0.17,-0.152,-0.162,-0.147,-0.158,-0.159,-0.306,"Stroma_mural","Stroma_mural",0,0,29472
"8",-0.18,-0.28,-0.107,-0.162,-0.209,-0.069,-0.066,-0.084,-0.114,-0.147,-0.09,-0.095,-0.098,-0.057,-0.09,-0.053,"Tumor_RCC","Tumor_RCC",0.001,0,29366
"9",-0.219,-0.279,-0.173,-0.115,0.082,-0.078,-0.073,-0.145,-0.1,-0.168,-0.074,-0.121,-0.094,-0.068,-0.079,0.365,"Tumor_RCC","Tumor_RCC",0,0,22037
"10",-0.245,-0.271,-0.211,-0.142,0.088,0.058,-0.038,0.186,0.011,0.629,0.046,-0.046,-0.125,-0.093,-0.11,-0.248,"Myeloid","Myeloid",0,0,19648
"11",-0.331,-0.335,-0.175,0.034,-0.149,-0.187,-0.191,-0.114,-0.219,-0.273,-0.175,-0.189,-0.195,-0.169,-0.201,-0.343,"Endothelial","Endothelial",0,0,18082
"12",-0.219,-0.223,-0.19,0.022,-0.049,0.101,-0.093,-0.043,-0.12,0.133,0.025,-0.092,-0.081,-0.096,0.04,0.158,"Tumor_RCC","Tumor_RCC",0.001,0,17563
"13",-0.094,-0.136,-0.089,0.031,0.938,0.095,0.03,0.221,-0.036,0.78,0.128,-0.024,0.032,0.022,0.051,-0.092,"Stroma_mural","Stroma_mural",0,0,15194
"14",-0.222,-0.276,0.315,0.179,0.347,0.018,-0.022,0.098,-0.087,0.425,0.222,-0.094,-0.077,0.159,-0.032,-0.126,"Myeloid","Myeloid",0,0,13887
"15",0.66,-0.06,-0.108,0.214,0.019,0.135,0.145,0.124,0.39,0.171,0.125,0.177,0.23,0.139,0.153,0.052,"Loop_of_Henle_TAL","Loop_of_Henle_TAL",0.001,0,12197
"16",-0.245,-0.303,-0.118,-0.126,0.488,-0.121,-0.092,-0.185,-0.122,-0.171,-0.1,-0.137,-0.097,-0.122,-0.093,-0.192,"Stroma_mural","Stroma_mural",0.001,0,10754
"17",1.259,-0.21,-0.088,0.064,0.109,0.039,0.082,0.192,1.054,0.327,0.047,0.097,0.143,0.032,0.236,0.877,"Loop_of_Henle_TAL","Loop_of_Henle_TAL",0.005,0,9667
"18",0.163,-0.154,0.034,0.077,0.034,0.154,0.16,0.232,0.221,0.312,0.305,0.193,0.174,0.124,0.402,0.523,"Tumor_RCC","Tumor_RCC",0.001,0,8331
"19",1,0.124,0.513,0.782,0.559,0.659,0.907,0.718,1.245,0.74,0.787,1.171,1.115,1.041,0.966,0.811,"Plasma","Plasma",0.001,0.001,8243
"20",1.479,1.028,0.517,-0.068,-0.003,0,0.043,0.146,0.923,0.164,-0.003,0.037,0.171,-0.021,0.241,0.937,"Loop_of_Henle_TAL","Loop_of_Henle_TAL",0.004,0,2270
"21",0.341,1.15,0.48,-0.051,-0.009,0.08,0.035,0.138,0.006,0.139,0.159,0.023,0.119,-0.019,0.267,0.409,"Distal_tubule","Distal_tubule",0.001,0,1878
"22",0.051,0.115,0.048,0.345,0.02,0.006,0.027,0.088,0.103,0.074,0.066,0.709,0.064,0.078,0.042,-0.009,"pDC","pDC",0.001,0,1336
