"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.56541309647536,0.519,0.344,0,"1","AZU1"
0,1.60449587093035,0.527,0.407,0,"1","NPPC"
0,1.48002611916312,0.534,0.421,0,"1","COL9A2"
0,0.331414492204194,0.17,0.274,0,"1","FKBP11"
0,1.1990226622905,0.514,0.411,0,"1","DUSP5"
0,0.781341663618033,0.653,0.562,0,"1","GPX3"
0,0.282681762153003,0.132,0.219,0,"1","IL17RB"
0,0.354780952034138,0.085,0.167,0,"1","FZD5"
0,1.69767740354637,0.285,0.205,0,"1","CD3E"
0,0.366032936398039,0.073,0.15,0,"1","ACE2"
0,0.306618710322075,0.075,0.15,0,"1","ETV5"
0,0.300325054300654,0.07,0.145,0,"1","MTRNR2L1"
0,0.389769043278783,0.091,0.165,0,"1","IL6R"
0,0.253058707751998,0.081,0.155,0,"1","DUSP6"
0,0.276116108906047,0.077,0.151,0,"1","WNT7B"
0,0.45573550634919,0.082,0.154,0,"1","CELSR1"
0,0.253512466303577,0.09,0.159,0,"1","CCL21"
0,0.309190901852193,0.071,0.137,0,"1","SPRY2"
0,0.250076805237728,0.055,0.121,0,"1","TNFRSF11B"
0,0.533057236161643,0.873,0.939,0,"1","MZT2A"
0,0.258357002697995,0.049,0.113,0,"1","CASP8"
0,0.26967400469682,0.062,0.126,0,"1","ICAM3"
0,0.319234333384412,0.061,0.125,0,"1","IFIT1"
0,0.330814392257484,0.067,0.131,0,"1","TNFRSF10D"
0,0.32035300212871,0.058,0.122,0,"1","TNFRSF19"
0,0.313095871538621,0.068,0.131,0,"1","CLCF1"
0,0.344812004328773,0.08,0.143,0,"1","CAV1"
0,0.265643853266048,0.052,0.114,0,"1","AR"
0,0.277185222634301,0.06,0.122,0,"1","BMP4"
0,0.270369559260096,0.065,0.127,0,"1","HDAC4"
0,0.278815069896049,0.055,0.116,0,"1","ADGRG6"
0,0.330008810447803,0.068,0.128,0,"1","FES"
0,0.261251977796022,0.067,0.126,0,"1","KRT1"
0,0.333339541969885,0.059,0.117,0,"1","PDGFC"
0,0.286609155730835,0.068,0.126,0,"1","ELANE"
0,0.561935479678249,0.085,0.143,0,"1","CD83"
0,0.44868012453052,0.069,0.126,0,"1","CCL15"
0,1.39932422066249,0.361,0.304,0,"1","WIF1"
0,0.448647056764619,0.073,0.129,0,"1","BID"
