"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.69767740354637,0.285,0.205,0,"1","CD3E"
0,1.60449587093035,0.527,0.407,0,"1","NPPC"
0,1.56541309647536,0.519,0.344,0,"1","AZU1"
0,1.48002611916312,0.534,0.421,0,"1","COL9A2"
0,1.39932422066249,0.361,0.304,0,"1","WIF1"
1.07417698149256e-176,1.37127728994108,0.181,0.163,1.02798737128838e-173,"1","KRT16"
4.70557527073761e-41,1.22756710136678,0.138,0.134,4.50323553409589e-38,"1","ATG12"
0,1.1990226622905,0.514,0.411,0,"1","DUSP5"
5.84039074194174e-05,1.10816471517944,0.094,0.106,0.0558925394003825,"1","TWIST2"
0.00514407730675604,1.08710634823947,0.124,0.14,1,"1","TNFRSF18"
0,4.18801637626497,0.717,0.103,0,"2","CALB1"
0,2.81503753687171,0.526,0.12,0,"2","KRT19"
0,2.5694160048565,0.358,0.107,0,"2","AQP3"
0,2.20279092077453,0.396,0.107,0,"2","CDH1"
0,2.16616008000996,0.387,0.108,0,"2","GATA3"
0,2.15800520737544,0.525,0.18,0,"2","CLU"
0,2.14326282200675,0.591,0.202,0,"2","EPCAM"
0,2.10157892714883,0.289,0.133,0,"2","KRT7"
0,1.95682034315541,0.183,0.074,0,"2","SPINK1"
0,1.89639145462467,0.322,0.109,0,"2","TACSTD2"
0,2.13930123277331,0.781,0.304,0,"3","CRYAB"
0,1.83625430287605,0.982,0.533,0,"3","GPX3"
0,1.82939620678786,0.622,0.159,0,"3","IL17RB"
0,1.73082614987094,0.553,0.175,0,"3","PIGR"
0,1.72257421583044,0.784,0.233,0,"3","CXCL14"
0,1.64220912641172,0.611,0.194,0,"3","IL32"
0,1.56506212372194,0.59,0.184,0,"3","SERPINA1"
0,1.55999159651595,0.726,0.214,0,"3","DDC"
0,1.40318237828343,0.512,0.164,0,"3","COTL1"
0,1.39651224355022,0.52,0.156,0,"3","FGFR3"
0,4.52832172416865,0.654,0.089,0,"4","EGF"
