"cluster","n_cells","marker_type","singler_main","main_agreement","singler_fine","fine_agreement","concordant","adopted","low_consensus","frac_lowconf","ref_cell_type"
"1",89707,"T_cell","CD4+ T cells",0.168,"Low-density neutrophils",0.125,FALSE,FALSE,TRUE,0,"T_cell"
"2",52839,"Distal_tubule","Progenitors",0.251,"Progenitor cells",0.251,FALSE,FALSE,TRUE,0,"Distal_tubule"
"3",52158,"Tumor_RCC","CD4+ T cells",0.24,"Progenitor cells",0.201,FALSE,FALSE,TRUE,0,"Tumor_RCC"
"4",43346,"Loop_of_Henle_TAL","Progenitors",0.219,"Progenitor cells",0.219,FALSE,FALSE,TRUE,0,"Loop_of_Henle_TAL"
"5",41359,"Endothelial","Monocytes",0.198,"Progenitor cells",0.152,FALSE,FALSE,TRUE,0,"Endothelial"
"6",33058,"pDC","B cells",0.153,"Low-density basophils",0.134,FALSE,FALSE,TRUE,0,"pDC"
"7",29472,"Stroma_mural","Monocytes",0.172,"Naive CD8 T cells",0.127,FALSE,FALSE,TRUE,0,"Stroma_mural"
"8",29366,"Tumor_RCC","CD4+ T cells",0.223,"Progenitor cells",0.151,FALSE,FALSE,TRUE,0,"Tumor_RCC"
"9",22037,"Tumor_RCC","CD4+ T cells",0.191,"Plasmacytoid dendritic cells",0.118,FALSE,FALSE,TRUE,0,"Tumor_RCC"
"10",19648,"Myeloid","Monocytes",0.398,"Intermediate monocytes",0.2,TRUE,TRUE,TRUE,0,"Intermediate monocytes"
"11",18082,"Endothelial","Dendritic cells",0.163,"Progenitor cells",0.114,FALSE,FALSE,TRUE,0,"Endothelial"
"12",17563,"Tumor_RCC","Monocytes",0.291,"Myeloid dendritic cells",0.212,FALSE,FALSE,TRUE,0,"Tumor_RCC"
"13",15194,"Stroma_mural","Monocytes",0.477,"Non classical monocytes",0.245,FALSE,FALSE,TRUE,0,"Stroma_mural"
"14",13887,"Myeloid","Monocytes",0.384,"Non classical monocytes",0.164,TRUE,TRUE,TRUE,0,"Non classical monocytes"
"15",12197,"Loop_of_Henle_TAL","Monocytes",0.158,"Progenitor cells",0.149,FALSE,FALSE,TRUE,0,"Loop_of_Henle_TAL"
"16",10754,"Stroma_mural","CD8+ T cells",0.231,"Naive CD8 T cells",0.214,FALSE,FALSE,TRUE,0,"Stroma_mural"
"17",9667,"Loop_of_Henle_TAL","Progenitors",0.279,"Progenitor cells",0.279,FALSE,FALSE,TRUE,0,"Loop_of_Henle_TAL"
"18",8331,"Tumor_RCC","Dendritic cells",0.217,"Myeloid dendritic cells",0.187,FALSE,FALSE,TRUE,0,"Tumor_RCC"
"19",8243,"Plasma","Basophils",0.167,"Low-density basophils",0.167,FALSE,FALSE,TRUE,0,"Plasma"
"20",2270,"Loop_of_Henle_TAL","Progenitors",0.468,"Progenitor cells",0.468,FALSE,FALSE,TRUE,0,"Loop_of_Henle_TAL"
"21",1878,"Distal_tubule","Dendritic cells",0.28,"Myeloid dendritic cells",0.24,FALSE,FALSE,TRUE,0,"Distal_tubule"
"22",1336,"pDC","Monocytes",0.174,"Low-density basophils",0.127,FALSE,FALSE,TRUE,0,"pDC"
