"sub_cluster","n","lineage","panck_if","top_score"
"1",28192,"T_CD8",0.26,0.312
"2",24602,"T_CD8",0.28,0.227
"3",19681,"T_CD8",0.26,0.304
"4",15033,"NK",0.38,0.268
"5",10812,"Macrophage",0.4,1.633
"6",9696,"Macrophage",0.41,1.18
"7",8813,"T_CD8",0.26,0.269
"8",7177,"Macrophage",0.11,0.182
"9",6987,"NK",0.23,0.166
"10",6750,"Monocyte",0.45,0.384
"11",5866,"Monocyte",0.21,1.136
"12",5764,"Monocyte",0.47,0.452
"13",4158,"NK",0.36,0.341
"14",4116,"Monocyte",1,0.41
"15",3905,"NK",0.48,0.27
"16",3601,"Plasma",0.46,0.981
"17",3278,"NK",0.44,0.506
"18",3141,"NK",0.51,0.324
"19",1570,"Macrophage",0.41,1.126
"20",91,"NK",0.1,0.53
