"lab","Freq"
"Proliferating.Proximal.Tubule",87456
"Pelvic.epithelium",37558
"a",35688
"e",34598
"c",31363
"Fibroblast",26070
"Thick.ascending.limb.of.Loop.of.Henle",22825
"Epithelial.progenitor.cell",20638
"Connecting.tubule",19631
"Peritubular.capillary.endothelium.1",18226
"Ascending.vasa.recta.endothelium",17521
"d",16464
"Glomerular.endothelium",15999
"Descending.vasa.recta.endothelium",14951
"Principal.cell",14093
"Proximal.tubule",13813
"Distinct.proximal.tubule.1",13603
"Distinct.proximal.tubule.2",12639
"Podocyte",10683
"b",10642
"macrophage",10038
"Type.A.intercalated.cell",9109
"Myofibroblast",8661
"Indistinct.intercalated.cell",7377
"Peritubular.capillary.endothelium.2",6198
"Type.B.intercalated.cell",4812
"plasmablast",2360
"mDC",1862
"B-cell",1596
"Transitional.urothelium",1542
"T CD8 memory",1420
"mast",961
"monocyte",952
"NK",579
"neutrophil",344
"pDC",120
