"lab","Freq"
"Proliferating.Proximal.Tubule",137831
"Proximal.tubule",49751
"Pelvic.epithelium",45084
"Fibroblast",26583
"Distinct.proximal.tubule.2",24035
"Thick.ascending.limb.of.Loop.of.Henle",23605
"Epithelial.progenitor.cell",21169
"Connecting.tubule",19777
"Ascending.vasa.recta.endothelium",19163
"Peritubular.capillary.endothelium.1",18250
"Distinct.proximal.tubule.1",18238
"Glomerular.endothelium",15989
"Descending.vasa.recta.endothelium",15182
"Principal.cell",14428
"Indistinct.intercalated.cell",11578
"Podocyte",10714
"macrophage",10262
"Peritubular.capillary.endothelium.2",9735
"Type.A.intercalated.cell",9203
"Myofibroblast",8788
"pDC",5042
"Type.B.intercalated.cell",4849
"plasmablast",2508
"mDC",1880
"B-cell",1837
"Transitional.urothelium",1803
"T CD8 memory",1793
"mast",1049
"monocyte",968
"NK",948
"neutrophil",350
