"cluster","n_cells","marker_type","immune_label","kidney_l1","kidney_agreement","conflict_type","cd3_pct","ptprc_pct","lamp3_pct","foxp3_pct","nk_pct","epi_pct","protein_CD3_mean","protein_concordant","resolution_basis","resolved","flag_review","final_ref_cell_type"
1,53824,"Myeloid","Intermediate monocytes","Immune",1,"none",0.427,0.793,0.037,0.023,0.024,0.047,0.327,NA,"",FALSE,FALSE,"Intermediate monocytes"
2,46927,"T_cell","Effector memory CD8 T cells","Immune",0.989,"none",0.9,0.722,0.02,0.018,0.015,0.024,2.208,NA,"",FALSE,FALSE,"Effector memory CD8 T cells"
3,30266,"Stroma_mural","Stroma_mural","Immune",0.546,"Epi_Immune",0.38,0.352,0.013,0.016,0.016,0.015,0.869,NA,"ambiguous (PTPRC pct=0.35, epi pct=0.02) -> keep Stroma_mural (review)",FALSE,TRUE,"Stroma_mural"
4,27900,"Proliferating","Proliferating","Immune",0.862,"Epi_Immune",0.528,0.451,0.122,0.041,0.087,0.402,0.167,NA,"ambiguous (PTPRC pct=0.45, epi pct=0.40) -> keep Proliferating (review)",FALSE,TRUE,"Proliferating"
5,26669,"Stroma_mural","Stroma_mural","Vascular Smooth Muscle / Pericyte",0.418,"none",0.224,0.181,0.012,0.012,0.013,0.015,0.319,NA,"",FALSE,FALSE,"Stroma_mural"
6,26519,"B_cell","Naive B cells","Immune",0.986,"none",0.381,0.764,0.023,0.032,0.018,0.011,0.651,NA,"",FALSE,FALSE,"Naive B cells"
7,26240,"Endothelial","Endothelial","Endothelial",0.948,"none",0.239,0.187,0.035,0.014,0.018,0.012,0.249,NA,"",FALSE,FALSE,"Endothelial"
8,26079,"Tumor_RCC","Tumor_RCC","Immune",0.748,"none",0.314,0.264,0.035,0.026,0.036,0.109,0.174,NA,"",FALSE,FALSE,"Tumor_RCC"
9,25120,"T_cell","T regulatory cells","Immune",0.968,"none",0.868,0.811,0.007,0.035,0.008,0.01,2.688,NA,"",FALSE,FALSE,"T regulatory cells"
10,22329,"Plasma","Plasmablasts","Immune",0.9,"none",0.454,0.524,0.039,0.032,0.029,0.013,2.885,NA,"",FALSE,FALSE,"Plasmablasts"
11,21763,"Myeloid","Classical monocytes","Immune",0.983,"none",0.425,0.711,0.023,0.029,0.021,0.009,0.872,NA,"",FALSE,FALSE,"Classical monocytes"
12,20602,"Myeloid","Intermediate monocytes","Immune",0.947,"none",0.209,0.284,0.001,0.001,0.001,0.002,0.83,NA,"",FALSE,FALSE,"Intermediate monocytes"
13,17948,"Endothelial","Endothelial","Immune",0.503,"Epi_Immune",0.308,0.339,0.043,0.018,0.044,0.029,0.623,NA,"ambiguous (PTPRC pct=0.34, epi pct=0.03) -> keep Endothelial (review)",FALSE,TRUE,"Endothelial"
14,13793,"NK_cell","NK_cell","Immune",0.98,"NK_CD8",0.763,0.789,0.036,0.034,0.497,0.019,1.93,TRUE,"CD3-high (pct=0.76) -> CD8_T",TRUE,FALSE,"CD8_T"
15,12125,"Stroma_mural","Stroma_mural","Vascular Smooth Muscle / Pericyte",0.479,"none",0.259,0.229,0.011,0.014,0.021,0.01,0.686,NA,"",FALSE,FALSE,"Stroma_mural"
16,10342,"Stroma_mural","Stroma_mural","Fibroblast",0.76,"none",0.298,0.272,0.021,0.026,0.028,0.012,0.722,NA,"",FALSE,FALSE,"Fibroblast"
17,9740,"T_cell","T regulatory cells","Immune",0.969,"none",0.881,0.812,0.035,0.839,0.029,0.015,2.44,NA,"",FALSE,FALSE,"T regulatory cells"
18,8400,"DC","Myeloid dendritic cells","Immune",0.977,"none",0.598,0.768,0.038,0.045,0.028,0.012,1.362,NA,"",FALSE,FALSE,"Myeloid dendritic cells"
19,8339,"Endothelial","Endothelial","Endothelial",0.83,"none",0.292,0.254,0.027,0.017,0.026,0.01,0.369,NA,"",FALSE,FALSE,"Endothelial"
20,5691,"Proximal_tubule","Proximal_tubule","Immune",0.841,"Epi_Immune",0.526,0.394,0.041,0.026,0.048,0.572,0.655,NA,"ambiguous (PTPRC pct=0.39, epi pct=0.57) -> keep Proximal_tubule (review)",FALSE,TRUE,"Proximal_tubule"
21,5221,"Neutrophil","Low-density neutrophils","Immune",0.815,"none",0.431,0.591,0.021,0.029,0.012,0.014,1.251,NA,"",FALSE,FALSE,"Low-density neutrophils"
22,5126,"pDC","Plasmacytoid dendritic cells","Immune",0.973,"none",0.685,0.688,0.028,0.048,0.022,0.009,2.079,NA,"",FALSE,FALSE,"Plasmacytoid dendritic cells"
23,4344,"Mast","Mast","Immune",0.91,"none",0.646,0.65,0.02,0.038,0.049,0.01,1.772,NA,"",FALSE,FALSE,"Mast"
24,3980,"DC","DC","Immune",0.985,"DC_Treg",0.8,0.76,0.952,0.103,0.02,0.019,2.071,TRUE,"CD3-high (pct=0.80), FOXP3 pct=0.10 -> Treg",TRUE,FALSE,"Treg"
25,2089,"Proliferating","Proliferating","Immune",0.883,"Epi_Immune",0.273,0.241,0,0.001,0.001,0.002,1.093,NA,"ambiguous (PTPRC pct=0.24, epi pct=0.00) -> keep Proliferating (review)",FALSE,TRUE,"Proliferating"
26,2012,"T_cell","Effector memory CD8 T cells","Immune",0.957,"none",0.787,0.739,0.012,0.032,0.021,0.013,2.337,NA,"",FALSE,FALSE,"Effector memory CD8 T cells"
27,1678,"LowQ_MTRNR2L","LowQ_MTRNR2L","Immune",0.546,"none",0.136,0.099,0,0,0,0.001,1.287,NA,"",FALSE,FALSE,"LowQ_MTRNR2L"
28,162,"LowQ_MTRNR2L","LowQ_MTRNR2L","Endothelial",0.75,"none",0,0,0,0,0,0,0.93,NA,"",FALSE,FALSE,"LowQ_MTRNR2L"
