"cluster","Proximal_tubule","Loop_of_Henle_TAL","Principal_CD","Intercalated","Endothelial","Stroma_mural","T_cell","NK_cell","B_cell","Plasma","Myeloid","DC","pDC","Mast","Neutrophil","Proliferating","Tumor_RCC","argmax","assigned","mean_mtrnr2l_frac","frac_lowq","n_cells"
"1",0.105,-0.022,-0.056,-0.005,-0.028,-0.219,-0.002,-0.076,-0.203,-0.116,1.082,0.16,-0.041,-0.019,0.32,0.11,-0.024,"Myeloid","Myeloid",0.002,0.048,53824
"2",-0.067,-0.027,0.077,-0.022,-0.196,-0.229,0.637,0.304,-0.21,-0.073,-0.135,-0.132,-0.015,-0.064,-0.063,0.17,0.037,"T_cell","T_cell",0.002,0,46927
"3",-0.077,-0.03,-0.055,-0.047,-0.223,0.687,-0.15,-0.103,-0.232,-0.162,-0.059,-0.144,-0.123,-0.061,-0.05,-0.146,-0.084,"Stroma_mural","Stroma_mural",0.002,0.004,30266
"4",0.42,0.026,0.023,0.133,-0.123,-0.079,-0.116,0.012,-0.062,0.154,0.082,0.123,-0.026,0.078,0.051,0.979,0.665,"Proliferating","Proliferating",0.003,0.361,27900
"5",-0.088,-0.029,-0.079,-0.031,0.037,0.839,-0.317,-0.165,-0.234,-0.14,-0.307,-0.168,-0.099,-0.038,-0.121,-0.109,-0.121,"Stroma_mural","Stroma_mural",0.002,0.002,26669
"6",0.077,-0.027,-0.055,-0.003,-0.288,-0.253,-0.26,-0.154,2.417,-0.085,-0.454,0.343,0.412,-0.03,-0.21,-0.225,-0.054,"B_cell","B_cell",0.002,0,26519
"7",-0.1,-0.026,-0.07,-0.016,1.067,0.267,-0.342,-0.148,-0.227,-0.079,-0.378,-0.134,0.135,0.085,-0.148,-0.091,-0.121,"Endothelial","Endothelial",0.002,0.005,26240
"8",-0.053,-0.019,-0.06,0.021,-0.236,-0.098,-0.265,-0.114,-0.123,-0.078,-0.176,-0.08,-0.111,-0.01,-0.042,0.192,0.349,"Tumor_RCC","Tumor_RCC",0.003,0.155,26079
"9",-0.067,-0.026,0.083,-0.019,-0.263,-0.215,0.636,-0.134,-0.086,-0.069,-0.352,-0.143,-0.113,-0.082,-0.229,-0.239,-0.11,"T_cell","T_cell",0.002,0,25120
"10",-0.043,-0.023,0.074,-0.007,0.173,-0.116,-0.131,-0.06,0.269,1.908,-0.127,-0.074,-0.009,-0.015,-0.084,0.112,-0.062,"Plasma","Plasma",0.003,0,22329
"11",-0.022,-0.027,-0.053,-0.032,-0.068,-0.172,-0.03,-0.115,-0.141,-0.126,0.72,0.264,-0.07,-0.044,0.314,-0.273,-0.125,"Myeloid","Myeloid",0.002,0.001,21763
"12",-0.093,-0.036,-0.1,-0.078,-0.286,-0.338,-0.303,-0.198,-0.253,-0.24,0.04,-0.169,-0.175,-0.091,-0.041,-0.341,-0.122,"Myeloid","Myeloid",0.002,0.001,20602
"13",-0.052,-0.025,-0.072,-0.013,0.288,-0.157,-0.241,-0.124,-0.189,-0.168,-0.046,-0.062,-0.033,0.038,-0.039,-0.134,-0.081,"Endothelial","Endothelial",0.002,0.007,17948
"14",-0.059,-0.022,0.133,-0.001,-0.18,-0.194,0.492,2.094,-0.156,-0.06,-0.133,0.038,0.073,-0.054,-0.062,-0.039,-0.054,"NK_cell","NK_cell",0.002,0,13793
"15",0.018,-0.029,-0.071,-0.041,-0.08,0.677,-0.272,-0.168,-0.222,-0.172,-0.382,-0.169,-0.113,-0.062,-0.162,-0.25,-0.133,"Stroma_mural","Stroma_mural",0.002,0.014,12125
"16",-0.038,-0.028,-0.052,-0.023,0.069,0.972,-0.299,-0.15,-0.179,-0.141,-0.234,-0.116,-0.076,-0.013,-0.133,-0.266,-0.132,"Stroma_mural","Stroma_mural",0.001,0.002,10342
"17",-0.064,-0.027,0.218,-0.012,-0.238,-0.165,0.416,-0.087,-0.092,-0.013,-0.185,-0.074,-0.049,-0.04,-0.109,0.102,-0.034,"T_cell","T_cell",0.002,0,9740
"18",0.014,-0.021,-0.008,-0.02,-0.17,-0.197,0.163,-0.078,0.271,-0.112,-0.067,0.299,0.019,-0.027,-0.123,-0.141,-0.099,"DC","DC",0.002,0.004,8400
"19",-0.073,-0.022,-0.063,-0.019,2.755,-0.02,-0.305,-0.139,-0.207,-0.171,-0.366,-0.12,0.172,0.046,-0.045,-0.247,-0.133,"Endothelial","Endothelial",0.002,0.002,8339
"20",0.448,-0.027,0.012,0.029,-0.188,-0.17,-0.028,0.014,-0.138,-0.02,-0.161,-0.077,-0.105,-0.023,0.008,0.135,0.269,"Proximal_tubule","Proximal_tubule",0.003,0.032,5691
"21",-0.083,-0.022,-0.035,-0.029,0.004,-0.189,-0.049,-0.109,-0.169,-0.142,-0.162,0.025,-0.077,-0.051,2.163,-0.225,-0.1,"Neutrophil","Neutrophil",0.002,0,5221
"22",-0.073,-0.026,0.027,-0.011,-0.23,-0.269,0.33,-0.057,-0.084,0.005,-0.25,-0.085,1.866,-0.059,-0.165,-0.192,-0.113,"pDC","pDC",0.002,0,5126
"23",-0.066,-0.021,0.081,0.005,-0.209,-0.176,0.283,0.112,-0.117,-0.107,-0.236,-0.052,-0.069,1.747,-0.121,-0.191,-0.111,"Mast","Mast",0.002,0,4344
"24",-0.097,-0.035,0.048,0.008,-0.201,-0.218,0.525,-0.028,-0.109,-0.109,-0.269,1.9,-0.063,-0.032,-0.16,-0.144,-0.051,"DC","DC",0.002,0.001,3980
"25",-0.132,-0.038,-0.089,-0.079,-0.335,-0.328,-0.279,-0.165,-0.25,-0.236,-0.276,-0.193,-0.174,-0.088,-0.117,0.412,-0.111,"Proliferating","Proliferating",0.003,0.001,2089
"26",-0.046,-0.033,0.072,-0.021,-0.232,-0.23,0.49,0.013,-0.136,-0.093,-0.278,-0.135,-0.051,-0.064,-0.144,-0.211,-0.106,"T_cell","T_cell",0.002,0,2012
"27",-0.11,-0.038,-0.1,-0.091,-0.376,-0.399,-0.442,-0.229,-0.274,-0.266,-0.571,-0.233,-0.182,-0.098,-0.276,-0.411,-0.136,"Loop_of_Henle_TAL","LowQ_MTRNR2L",0.006,0.004,1678
"28",-0.152,-0.038,-0.127,-0.094,-0.451,-0.499,-0.552,-0.24,-0.276,-0.294,-0.665,-0.237,-0.188,-0.098,-0.297,-0.414,-0.154,"Loop_of_Henle_TAL","LowQ_MTRNR2L",0.003,0.031,162
