"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.0484389354104,0.928,0.312,0,"1","FCGR3B"
0,2.14070615343324,0.97,0.392,0,"1","FCGR3A"
0,1.74701211116532,0.898,0.324,0,"1","MS4A6A"
0,2.37087496133654,0.7,0.145,0,"1","VSIG4"
0,1.66594919076658,0.782,0.231,0,"1","CD163"
0,1.7985082299707,0.887,0.338,0,"1","CD68"
0,1.92664627513267,0.709,0.183,0,"1","FCGR1A"
0,1.85595988941318,0.71,0.185,0,"1","CD14"
0,1.4256716270904,0.861,0.341,0,"1","C1orf162"
0,1.57382708155881,0.762,0.26,0,"1","FGL2"
0,1.35976370448566,0.684,0.22,0,"1","CD4"
0,1.16568126107742,0.735,0.272,0,"1","AIF1"
0,1.3212778908695,0.721,0.258,0,"1","HAVCR2"
0,1.54440590027642,0.598,0.159,0,"1","MS4A4A"
0,1.31543923002115,0.637,0.205,0,"1","HLA-DRB5"
0,1.1000272363406,0.955,0.554,0,"1","HLA-DRB1"
0,1.70957840343652,0.525,0.154,0,"1","KCNMA1"
0,0.818730305961113,0.475,0.185,0,"1","VSIR"
0,0.445141655757148,0.591,0.304,0,"1","BASP1"
0,1.35075746572267,0.38,0.098,0,"1","MNDA"
0,1.34003625069681,0.369,0.099,0,"1","ADAM28"
0,1.67854403119673,0.342,0.075,0,"1","CD86"
0,2.69492896728973,0.29,0.038,0,"1","TREM2"
0,1.34653193279949,0.314,0.08,0,"1","IGSF6"
0,1.19801559199773,0.4,0.167,0,"1","CXCL9"
0,1.21579006856278,0.323,0.097,0,"1","ITGAX"
0,1.28904189467007,0.3,0.078,0,"1","LILRB2"
0,1.79189159620377,0.261,0.046,0,"1","CSF2RA"
0,0.919011774712199,0.325,0.115,0,"1","IL2RA"
0,1.29495066438022,0.999,0.798,0,"1","HLA-DRA"
0,1.53829261488812,0.315,0.123,0,"1","CXCL10"
0,0.272985866489623,0.438,0.247,0,"1","SERPINB9"
0,0.354394081203089,0.301,0.128,0,"1","GPR183"
0,1.05096297387956,0.228,0.061,0,"1","LY86"
0,2.13106628921331,0.185,0.027,0,"1","LILRB4"
0,0.940326273372308,0.226,0.078,0,"1","CLEC4E"
0,1.26328310475097,0.193,0.045,0,"1","SPI1"
0,2.67270392974662,0.157,0.024,0,"1","HAMP"
0,0.537027175011565,0.166,0.066,0,"1","PLA2G7"
0,0.648444624193535,0.136,0.047,0,"1","CLECL1"
0,0.935631984533395,0.13,0.048,0,"1","HLA-DQB2"
0,2.76911288532264,0.831,0.244,0,"2","CD8A"
0,2.66704268120868,0.751,0.236,0,"2","CCL5"
0,1.84947064113726,0.693,0.248,0,"2","CD3E"
0,2.79006324056836,0.57,0.134,0,"2","GZMK"
0,2.21798227485227,0.605,0.176,0,"2","CD2"
0,3.13119028609954,0.496,0.096,0,"2","NKG7"
0,2.9004260461508,0.472,0.095,0,"2","GZMA"
0,1.72724292595338,0.603,0.23,0,"2","TRAC"
0,1.76080021107727,0.389,0.122,0,"2","CD3D"
0,2.62437325835014,0.333,0.073,0,"2","PRF1"
