"cluster","n_cells","marker_type","singler_main","main_agreement","singler_fine","fine_agreement","concordant","adopted","low_consensus","frac_lowconf","ref_cell_type"
"1",53824,"Myeloid","Monocytes",0.829,"Intermediate monocytes",0.519,TRUE,TRUE,FALSE,0,"Intermediate monocytes"
"2",46927,"T_cell","CD8+ T cells",0.554,"Effector memory CD8 T cells",0.381,TRUE,TRUE,TRUE,0,"Effector memory CD8 T cells"
"3",30266,"Stroma_mural","Monocytes",0.354,"Classical monocytes",0.142,FALSE,FALSE,TRUE,0,"Stroma_mural"
"4",27900,"Proliferating","Progenitors",0.255,"Progenitor cells",0.255,FALSE,FALSE,TRUE,0,"Proliferating"
"5",26669,"Stroma_mural","Progenitors",0.309,"Progenitor cells",0.309,FALSE,FALSE,TRUE,0,"Stroma_mural"
"6",26519,"B_cell","B cells",0.855,"Naive B cells",0.253,TRUE,TRUE,TRUE,0,"Naive B cells"
"7",26240,"Endothelial","Progenitors",0.717,"Progenitor cells",0.717,FALSE,FALSE,FALSE,0,"Endothelial"
"8",26079,"Tumor_RCC","Neutrophils",0.254,"Low-density neutrophils",0.254,FALSE,FALSE,TRUE,0,"Tumor_RCC"
"9",25120,"T_cell","CD4+ T cells",0.553,"T regulatory cells",0.125,TRUE,TRUE,TRUE,0,"T regulatory cells"
"10",22329,"Plasma","B cells",0.755,"Plasmablasts",0.727,TRUE,TRUE,FALSE,0,"Plasmablasts"
"11",21763,"Myeloid","Monocytes",0.633,"Classical monocytes",0.328,TRUE,TRUE,TRUE,0,"Classical monocytes"
"12",20602,"Myeloid","Monocytes",0.568,"Intermediate monocytes",0.327,TRUE,TRUE,TRUE,0,"Intermediate monocytes"
"13",17948,"Endothelial","Progenitors",0.429,"Progenitor cells",0.429,FALSE,FALSE,TRUE,0,"Endothelial"
"14",13793,"NK_cell","CD8+ T cells",0.361,"Effector memory CD8 T cells",0.201,FALSE,FALSE,TRUE,0,"NK_cell"
"15",12125,"Stroma_mural","Progenitors",0.228,"Progenitor cells",0.228,FALSE,FALSE,TRUE,0,"Stroma_mural"
"16",10342,"Stroma_mural","Monocytes",0.246,"Progenitor cells",0.221,FALSE,FALSE,TRUE,0,"Stroma_mural"
"17",9740,"T_cell","CD4+ T cells",0.809,"T regulatory cells",0.633,TRUE,TRUE,FALSE,0,"T regulatory cells"
"18",8400,"DC","Monocytes",0.24,"Myeloid dendritic cells",0.209,TRUE,TRUE,TRUE,0,"Myeloid dendritic cells"
"19",8339,"Endothelial","Progenitors",0.644,"Progenitor cells",0.644,FALSE,FALSE,FALSE,0,"Endothelial"
"20",5691,"Proximal_tubule","Monocytes",0.215,"Progenitor cells",0.141,FALSE,FALSE,TRUE,0,"Proximal_tubule"
"21",5221,"Neutrophil","Monocytes",0.308,"Low-density neutrophils",0.284,TRUE,TRUE,TRUE,0,"Low-density neutrophils"
"22",5126,"pDC","CD4+ T cells",0.266,"Plasmacytoid dendritic cells",0.211,TRUE,TRUE,TRUE,0,"Plasmacytoid dendritic cells"
"23",4344,"Mast","CD4+ T cells",0.272,"Progenitor cells",0.14,FALSE,FALSE,TRUE,0,"Mast"
"24",3980,"DC","CD4+ T cells",0.453,"T regulatory cells",0.201,FALSE,FALSE,TRUE,0,"DC"
"25",2089,"Proliferating","Monocytes",0.238,"Plasmablasts",0.156,FALSE,FALSE,TRUE,0,"Proliferating"
"26",2012,"T_cell","CD4+ T cells",0.384,"Effector memory CD8 T cells",0.11,TRUE,TRUE,TRUE,0,"Effector memory CD8 T cells"
"27",1678,"LowQ_MTRNR2L","CD4+ T cells",0.17,"Progenitor cells",0.106,FALSE,FALSE,TRUE,0.007,"LowQ_MTRNR2L"
"28",162,"LowQ_MTRNR2L","B cells",0.778,"Plasmablasts",0.778,FALSE,FALSE,FALSE,0,"LowQ_MTRNR2L"
