"cluster","n_cells","marker_type","immune_label","kidney_l1","kidney_agreement","mean_kidney_score","adopted_kidney","kidney_immune_conflict","final_ref_cell_type"
"1",53824,"Myeloid","Intermediate monocytes","Immune",1,0.998,FALSE,FALSE,"Intermediate monocytes"
"2",46927,"T_cell","Effector memory CD8 T cells","Immune",0.989,0.965,FALSE,FALSE,"Effector memory CD8 T cells"
"3",30266,"Stroma_mural","Stroma_mural","Immune",0.546,0.785,FALSE,TRUE,"Stroma_mural"
"4",27900,"Proliferating","Proliferating","Immune",0.862,0.855,FALSE,TRUE,"Proliferating"
"5",26669,"Stroma_mural","Stroma_mural","Vascular Smooth Muscle / Pericyte",0.418,0.702,FALSE,FALSE,"Stroma_mural"
"6",26519,"B_cell","Naive B cells","Immune",0.986,0.977,FALSE,FALSE,"Naive B cells"
"7",26240,"Endothelial","Endothelial","Endothelial",0.948,0.948,TRUE,FALSE,"Endothelial"
"8",26079,"Tumor_RCC","Tumor_RCC","Immune",0.748,0.756,FALSE,FALSE,"Tumor_RCC"
"9",25120,"T_cell","T regulatory cells","Immune",0.968,0.959,FALSE,FALSE,"T regulatory cells"
"10",22329,"Plasma","Plasmablasts","Immune",0.9,0.909,FALSE,FALSE,"Plasmablasts"
"11",21763,"Myeloid","Classical monocytes","Immune",0.983,0.973,FALSE,FALSE,"Classical monocytes"
"12",20602,"Myeloid","Intermediate monocytes","Immune",0.947,0.871,FALSE,FALSE,"Intermediate monocytes"
"13",17948,"Endothelial","Endothelial","Immune",0.503,0.865,FALSE,TRUE,"Endothelial"
"14",13793,"NK_cell","NK_cell","Immune",0.98,0.97,FALSE,FALSE,"NK_cell"
"15",12125,"Stroma_mural","Stroma_mural","Vascular Smooth Muscle / Pericyte",0.479,0.75,FALSE,FALSE,"Stroma_mural"
"16",10342,"Stroma_mural","Stroma_mural","Fibroblast",0.76,0.798,TRUE,FALSE,"Fibroblast"
"17",9740,"T_cell","T regulatory cells","Immune",0.969,0.954,FALSE,FALSE,"T regulatory cells"
"18",8400,"DC","Myeloid dendritic cells","Immune",0.977,0.971,FALSE,FALSE,"Myeloid dendritic cells"
"19",8339,"Endothelial","Endothelial","Endothelial",0.83,0.921,TRUE,FALSE,"Endothelial"
"20",5691,"Proximal_tubule","Proximal_tubule","Immune",0.841,0.831,FALSE,TRUE,"Proximal_tubule"
"21",5221,"Neutrophil","Low-density neutrophils","Immune",0.815,0.9,FALSE,FALSE,"Low-density neutrophils"
"22",5126,"pDC","Plasmacytoid dendritic cells","Immune",0.973,0.955,FALSE,FALSE,"Plasmacytoid dendritic cells"
"23",4344,"Mast","Mast","Immune",0.91,0.915,FALSE,FALSE,"Mast"
"24",3980,"DC","DC","Immune",0.985,0.967,FALSE,FALSE,"DC"
"25",2089,"Proliferating","Proliferating","Immune",0.883,0.799,FALSE,TRUE,"Proliferating"
"26",2012,"T_cell","Effector memory CD8 T cells","Immune",0.957,0.941,FALSE,FALSE,"Effector memory CD8 T cells"
"27",1678,"LowQ_MTRNR2L","LowQ_MTRNR2L","Immune",0.546,0.662,FALSE,FALSE,"LowQ_MTRNR2L"
"28",162,"LowQ_MTRNR2L","LowQ_MTRNR2L","Endothelial",0.75,0.363,FALSE,FALSE,"LowQ_MTRNR2L"
