"metric","target_pct","treg_pct","cd8_pct","global_pct","target_mean","treg_mean","cd8_mean"
"LAMP3",0.952,0.035,0.02,0.039,5.37,0.17,0.09
"CCR7",0.435,0.168,0.022,0.073,2.55,0.9,0.11
"CD83",0.253,0.053,0.03,0.063,1.44,0.27,0.15
"CD3",0.8,0.881,0.9,0.479,2.43,2.91,2.79
"FOXP3",0.103,0.839,0.018,0.041,0.57,4.94,0.09
"IL2RA",0.155,0.281,0.091,0.139,0.84,1.55,0.47
"CTLA4",0.303,0.691,0.295,0.13,1.74,4.27,1.6
"SELL",0.262,0.291,0.04,0.106,1.45,1.58,0.2
"IL7R",0.508,0.37,0.072,0.146,3.05,2.09,0.38
"GZMB",0.053,0.052,0.135,0.058,0.28,0.27,0.7
"PRF1",0.12,0.122,0.333,0.099,0.64,0.63,1.78
"NKG7",0.152,0.082,0.496,0.136,0.82,0.42,2.73
"GZMK",0.271,0.161,0.57,0.178,1.51,0.85,3.21
"CD4",0.273,0.407,0.188,0.274,1.46,2.21,0.96
"CD8A",0.467,0.265,0.831,0.304,2.76,1.45,5.16
