"cluster","n_cells","marker_type","immune_label","kidney_l1","kidney_agreement","conflict_type","cd3_pct","ptprc_pct","lamp3_pct","foxp3_pct","nk_pct","epi_pct","protein_CD3_mean","protein_concordant","resolution_basis","resolved","flag_review","final_ref_cell_type"
"1",9328,"T_cell","Effector memory CD8 T cells","Immune",1,"none",0.975,0.916,0.066,0.049,0.087,0.113,NA,NA,"",FALSE,FALSE,"Effector memory CD8 T cells"
"2",6317,"T_cell","T regulatory cells","Immune",0.978,"none",0.939,0.854,0.073,0.223,0.052,0.035,NA,NA,"",FALSE,FALSE,"T regulatory cells"
"3",4767,"Myeloid","Intermediate monocytes","Immune",1,"none",0.643,0.868,0.077,0.046,0.058,0.066,NA,NA,"",FALSE,FALSE,"Intermediate monocytes"
"4",4632,"Myeloid","Intermediate monocytes","Immune",0.989,"none",0.565,0.596,0.041,0.024,0.027,0.029,NA,NA,"",FALSE,FALSE,"Intermediate monocytes"
"5",3979,"Intercalated","Intercalated","Immune",0.806,"Epi_Immune",0.378,0.37,0.094,0.057,0.081,0.071,NA,NA,"ambiguous (PTPRC pct=0.37, epi pct=0.07) -> keep Intercalated (review)",FALSE,TRUE,"Intercalated"
"6",3949,"Stroma_mural","Stroma_mural","Fibroblast",0.611,"none",0.603,0.47,0.06,0.054,0.055,0.052,NA,NA,"",FALSE,FALSE,"Fibroblast"
"7",3034,"Stroma_mural","Stroma_mural","Fibroblast",0.948,"none",0.357,0.26,0.04,0.03,0.031,0.027,NA,NA,"",FALSE,FALSE,"Fibroblast"
"8",2913,"T_cell","Effector memory CD8 T cells","Immune",0.87,"none",0.64,0.423,0.036,0.011,0.022,0.03,NA,NA,"",FALSE,FALSE,"Effector memory CD8 T cells"
"9",2827,"Stroma_mural","Stroma_mural","Immune",0.401,"none",0.415,0.277,0.031,0.019,0.015,0.014,NA,NA,"",FALSE,FALSE,"Stroma_mural"
"10",2643,"Endothelial","Endothelial","Endothelial",0.652,"none",0.383,0.31,0.084,0.031,0.039,0.038,NA,NA,"",FALSE,FALSE,"Endothelial"
"11",2503,"Tumor_RCC","Tumor_RCC","Immune",0.914,"none",0.803,0.68,0.119,0.064,0.086,0.378,NA,NA,"",FALSE,FALSE,"Tumor_RCC"
"12",2335,"Stroma_mural","Stroma_mural","Immune",0.608,"Epi_Immune",0.813,0.751,0.053,0.074,0.069,0.045,NA,NA,"PTPRC-high (pct=0.75) -> immune infiltrate/doublet (review)",FALSE,TRUE,"Immune infiltrate/doublet"
"13",1776,"NK_cell","Natural killer cells","Immune",0.975,"none",0.702,0.772,0.068,0.042,0.543,0.035,NA,NA,"",FALSE,FALSE,"Natural killer cells"
"14",1733,"Myeloid","Myeloid dendritic cells","Immune",0.929,"none",0.444,0.743,0.04,0.037,0.031,0.022,NA,NA,"",FALSE,FALSE,"Myeloid dendritic cells"
"15",1410,"Plasma","Plasmablasts","Immune",0.721,"none",0.488,0.548,0.072,0.046,0.032,0.023,NA,NA,"",FALSE,FALSE,"Plasmablasts"
"16",1019,"B_cell","Switched memory B cells","Immune",0.895,"none",0.662,0.722,0.051,0.036,0.04,0.026,NA,NA,"",FALSE,FALSE,"Switched memory B cells"
"17",707,"Stroma_mural","Stroma_mural","Fibroblast",0.822,"none",0.215,0.188,0.03,0.027,0.024,0.025,NA,NA,"",FALSE,FALSE,"Fibroblast"
"18",443,"Mast","Mast","Immune",0.711,"none",0.47,0.336,0.041,0.038,0.023,0.023,NA,NA,"",FALSE,FALSE,"Mast"
"19",189,"DC","Myeloid dendritic cells","Immune",0.962,"none",0.561,0.534,0.947,0.011,0.069,0.042,NA,NA,"",FALSE,FALSE,"Myeloid dendritic cells"
