"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.04446151581489,0.881,0.294,0,"1","GZMK"
0,2.17235375330747,0.806,0.227,0,"1","CD8A"
0,2.0326859856087,0.71,0.197,0,"1","GZMA"
0,1.69200056664484,0.943,0.453,0,"1","CCL5"
0,1.96931138694415,0.626,0.172,0,"1","NKG7"
0,1.34385387408611,0.736,0.308,0,"1","CD2"
0,1.26301720188917,0.754,0.335,0,"1","CD3E"
0,1.00628172178862,0.825,0.419,0,"1","TRAC"
0,1.39579628682755,0.598,0.213,0,"1","CD3D"
0,0.857889158352706,0.916,0.578,0,"1","PTPRC"
0,1.44279427573039,0.569,0.234,0,"1","HAVCR2"
0,2.19447014354027,0.396,0.096,0,"1","TNFRSF9"
0,1.19717153096049,0.49,0.19,0,"1","CTLA4"
0,0.623641593249014,0.739,0.464,0,"1","CXCR4"
0,0.815842133872725,0.618,0.349,0,"1","PRDM1"
0,0.988664645813974,0.481,0.217,0,"1","SLAMF7"
0,2.25244343827596,0.303,0.065,0,"1","LAG3"
0,1.51048268500053,0.324,0.104,0,"1","CD27"
0,1.4702822919867,0.281,0.098,0,"1","CCR2"
0,1.71203569275144,0.245,0.068,0,"1","DUSP2"
0,1.12015563947711,0.269,0.099,0,"1","PRF1"
0,1.46310323444718,0.173,0.057,0,"1","GZMB"
1.25292761228301e-308,0.787469565708969,0.323,0.154,4.72353709830696e-306,"1","CD247"
2.67900573327034e-257,0.478818832974613,0.515,0.32,1.00998516144292e-254,"1","CYTIP"
9.69622729867733e-204,0.575836034954261,0.327,0.184,3.65547769160135e-201,"1","CD28"
1.2353645717878e-195,0.843408199566426,0.232,0.116,4.65732443564002e-193,"1","CD69"
6.85859036939452e-183,0.351254054586608,0.254,0.132,2.58568856926173e-180,"1","TENT5C"
1.11511684980404e-174,0.893481470724702,0.223,0.117,4.20399052376123e-172,"1","PLCG2"
4.02176923643093e-156,0.83082633517951,0.205,0.108,1.51620700213446e-153,"1","CDK1"
1.03780244956932e-131,0.431767050748274,0.411,0.288,3.91251523487635e-129,"1","SERPINB9"
4.89525674727213e-109,0.41364764152229,0.297,0.195,1.84551179372159e-106,"1","RTKN2"
1.05266550530988e-105,0.284946885029966,0.303,0.197,3.96854895501823e-103,"1","CXCL9"
2.03367166156964e-102,0.538292562784971,0.167,0.092,7.66694216411755e-100,"1","KLRC1"
4.95153683006219e-102,0.703682854088586,0.163,0.09,1.86672938493345e-99,"1","CLECL1"
4.97810926470482e-82,0.499535703082155,0.248,0.168,1.87674719279372e-79,"1","FAS"
1.74671641874647e-78,0.330611312558515,0.235,0.156,6.58512089867418e-76,"1","AMY2A"
6.74613526059061e-64,0.610886739519493,0.122,0.071,2.54329299324266e-61,"1","CENPF"
3.19332330640162e-44,0.372196598100492,0.153,0.104,1.20388288651341e-41,"1","ELF5"
2.01240259861617e-40,0.361029816523495,0.151,0.104,7.58675779678296e-38,"1","THAP2"
9.23270798841124e-38,0.34626825347653,0.148,0.103,3.48073091163104e-35,"1","SLAMF1"
1.24651554353173e-24,0.469461200279032,0.113,0.081,4.69936359911462e-22,"1","MKI67"
1.32854835923327e-24,0.343888377663956,0.116,0.084,5.00862731430941e-22,"1","APOBEC3A"
0,2.90150054225035,0.785,0.253,0,"2","IL7R"
0,1.63066131586547,0.798,0.447,0,"2","TRAC"
0,2.09031636133152,0.468,0.175,0,"2","CD28"
0,1.17402571580257,0.605,0.35,0,"2","CD2"
0,1.15261388253745,0.629,0.376,0,"2","CD3E"
0,1.43241500674303,0.497,0.249,0,"2","CD3D"
0,1.13998425161772,0.854,0.606,0,"2","PTPRC"
0,2.35323042551776,0.37,0.126,0,"2","KLRB1"
0,1.79829258881505,0.389,0.155,0,"2","CD247"
0,1.31167044090375,0.558,0.326,0,"2","CYTIP"
0,2.56944989405757,0.325,0.095,0,"2","SELL"
0,1.05918353508583,0.69,0.487,0,"2","CXCR4"
0,2.34126146360251,0.264,0.077,0,"2","CCR7"
0,3.37767880224829,0.223,0.042,0,"2","FOXP3"
0,3.13243964333573,0.14,0.031,0,"2","CCL19"
1.76946983746618e-281,1.54953260143396,0.388,0.221,6.67090128724751e-279,"2","CTLA4"
1.19493158207807e-126,1.38447440642887,0.193,0.1,4.50489206443434e-124,"2","SLAMF1"
7.97060267539317e-124,1.08683194796426,0.306,0.2,3.00491720862322e-121,"2","RTKN2"
7.28009982152887e-99,0.971814426764494,0.31,0.215,2.74459763271638e-96,"2","GPR183"
9.66974025555583e-61,0.687209759110212,0.351,0.279,3.64549207634455e-58,"2","CD4"
4.40273171580526e-41,0.906112803817127,0.182,0.13,1.65982985685858e-38,"2","CD69"
5.11759239600447e-38,0.608240741484256,0.348,0.304,1.92933233329369e-35,"2","SERPINB9"
3.43844115539022e-18,0.632897404377379,0.162,0.128,1.29629231558211e-15,"2","PTGDS"
2.00702806129446e-10,0.401015898134664,0.126,0.104,7.56649579108011e-08,"2","MS4A1"
1.52336456785227e-09,0.431887108707934,0.161,0.138,5.74308442080306e-07,"2","CD27"
4.5361347234772e-08,0.607473747203672,0.128,0.11,1.7101227907509e-05,"2","THAP2"
6.43871233214303e-05,0.438590467431479,0.149,0.139,0.0242739454921792,"2","FKBP11"
0.00058891401659565,0.380373603840882,0.186,0.18,0.22202058425656,"2","FAS"
0.000679405900927097,0.402389540787179,0.246,0.248,0.256136024649515,"2","BCL2L11"
0.00246434052710033,0.371949780307082,0.284,0.296,0.929056378716823,"2","GLIPR1"
0,2.2369488343921,0.774,0.188,0,"3","VSIG4"
0,1.90252448107339,0.853,0.267,0,"3","CD14"
0,2.03178864395718,0.891,0.311,0,"3","FCGR3A"
0,2.08356619394131,0.793,0.214,0,"3","CD68"
0,1.77224764240794,0.77,0.227,0,"3","MS4A4A"
0,2.03629832329132,0.731,0.193,0,"3","CD163"
0,1.52165813669065,0.906,0.375,0,"3","AIF1"
0,1.58826570091221,0.781,0.262,0,"3","MPEG1"
0,1.64433420421715,0.845,0.336,0,"3","FGL2"
0,2.35345843770194,0.639,0.133,0,"3","PLA2G7"
0,1.8796362296923,0.706,0.206,0,"3","KCNMA1"
0,1.62158710021329,0.702,0.213,0,"3","C1orf162"
0,1.61572816990794,0.856,0.371,0,"3","MS4A6A"
0,1.37473784530752,0.741,0.271,0,"3","FCGR1A"
0,1.51702426637052,0.626,0.176,0,"3","CD86"
0,1.77579424812566,0.656,0.214,0,"3","IL2RA"
0,1.29140026869554,0.674,0.251,0,"3","CD4"
0,0.97499134192778,0.669,0.254,0,"3","HAVCR2"
0,1.38853261907165,0.577,0.174,0,"3","LILRB2"
0,1.5653411424816,0.56,0.158,0,"3","IGSF6"
0,1.88405314355882,0.536,0.144,0,"3","MRC1"
0,1.06458684148954,0.711,0.33,0,"3","BASP1"
0,1.14859201226055,0.65,0.281,0,"3","PMP22"
0,1.22192192400198,0.558,0.195,0,"3","GPR183"
0,1.41295440821724,0.467,0.128,0,"3","MNDA"
0,1.58956834210996,0.507,0.188,0,"3","CXCL9"
0,1.48376830420702,0.418,0.1,0,"3","CSF2RA"
0,1.37561096150119,0.433,0.121,0,"3","IRF8"
0,0.82026573675907,0.536,0.235,0,"3","SLAMF7"
0,1.23323753359123,0.437,0.144,0,"3","ADAM28"
0,2.423275667192,0.331,0.042,0,"3","LILRB4"
0,1.74676048515053,0.318,0.063,0,"3","TREM2"
0,3.01048096512985,0.262,0.035,0,"3","MARCO"
0,1.7542765898234,0.283,0.056,0,"3","SPI1"
0,1.23286476505792,0.299,0.079,0,"3","LY86"
0,1.47407925073884,0.289,0.074,0,"3","AQP9"
0,1.23203883665734,0.265,0.073,0,"3","HLA-DQB2"
0,1.28706426639363,0.262,0.079,0,"3","CLEC10A"
0,2.0059662419684,0.206,0.048,0,"3","MCEMP1"
0,1.94825325999297,0.158,0.032,0,"3","CD300E"
0,1.69992619539092,0.145,0.029,0,"3","HAMP"
9.96135155145121e-320,1.05892690712776,0.308,0.108,3.75542953489711e-317,"3","CD83"
4.94309292178607e-291,1.75839848828503,0.183,0.05,1.86354603151335e-288,"3","FCN1"
2.09923148636599e-236,0.949454599012737,0.237,0.084,7.91410270359978e-234,"3","CLEC4E"
9.25379785325419e-231,0.526214208295579,0.471,0.227,3.48868179067683e-228,"3","BCL2L11"
7.49286965597358e-227,0.99285938404162,0.211,0.071,2.82481186030204e-224,"3","C15orf48"
1.4218767177819e-206,0.872867134222802,0.22,0.08,5.36047522603776e-204,"3","CXCL2"
6.80409226099923e-201,0.531466031213911,0.536,0.288,2.56514278239671e-198,"3","SERPINB9"
1.99401413744001e-166,0.892486069015724,0.29,0.134,7.51743329814884e-164,"3","CXCL10"
4.55481127015751e-164,0.609180606860408,0.273,0.121,1.71716384884938e-161,"3","PPARG"
1.6070198488385e-148,0.802409021711806,0.185,0.073,6.05846483012113e-146,"3","IL3RA"
