"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.25244343827596,0.303,0.065,0,"1","LAG3"
0,2.19447014354027,0.396,0.096,0,"1","TNFRSF9"
0,2.17235375330747,0.806,0.227,0,"1","CD8A"
0,2.04446151581489,0.881,0.294,0,"1","GZMK"
0,2.0326859856087,0.71,0.197,0,"1","GZMA"
0,1.96931138694415,0.626,0.172,0,"1","NKG7"
0,1.71203569275144,0.245,0.068,0,"1","DUSP2"
0,1.69200056664484,0.943,0.453,0,"1","CCL5"
0,1.51048268500053,0.324,0.104,0,"1","CD27"
0,1.4702822919867,0.281,0.098,0,"1","CCR2"
0,3.37767880224829,0.223,0.042,0,"2","FOXP3"
0,3.13243964333573,0.14,0.031,0,"2","CCL19"
0,2.90150054225035,0.785,0.253,0,"2","IL7R"
0,2.56944989405757,0.325,0.095,0,"2","SELL"
0,2.35323042551776,0.37,0.126,0,"2","KLRB1"
0,2.34126146360251,0.264,0.077,0,"2","CCR7"
0,2.09031636133152,0.468,0.175,0,"2","CD28"
0,1.79829258881505,0.389,0.155,0,"2","CD247"
0,1.63066131586547,0.798,0.447,0,"2","TRAC"
1.76946983746618e-281,1.54953260143396,0.388,0.221,6.67090128724751e-279,"2","CTLA4"
0,3.01048096512985,0.262,0.035,0,"3","MARCO"
0,2.423275667192,0.331,0.042,0,"3","LILRB4"
0,2.35345843770194,0.639,0.133,0,"3","PLA2G7"
0,2.2369488343921,0.774,0.188,0,"3","VSIG4"
0,2.08356619394131,0.793,0.214,0,"3","CD68"
0,2.03629832329132,0.731,0.193,0,"3","CD163"
0,2.03178864395718,0.891,0.311,0,"3","FCGR3A"
0,2.0059662419684,0.206,0.048,0,"3","MCEMP1"
0,1.94825325999297,0.158,0.032,0,"3","CD300E"
0,1.90252448107339,0.853,0.267,0,"3","CD14"
0,1.79220626996367,0.451,0.218,0,"4","VSIG4"
4.09772011172795e-241,1.76173760763855,0.329,0.162,1.54484048212144e-238,"4","PLA2G7"
0,1.7214430271283,0.443,0.221,0,"4","CD163"
0,1.70863969153784,0.57,0.294,0,"4","CD14"
1.00168628377175e-301,1.60236827109226,0.446,0.246,3.7763572898195e-299,"4","CD68"
5.06777844386257e-313,1.59104882132368,0.459,0.257,1.91055247333619e-310,"4","MS4A4A"
0,1.56830185348886,0.614,0.338,0,"4","FCGR3A"
4.53336326551093e-316,1.53503755206803,0.491,0.289,1.70907795109762e-313,"4","MPEG1"
