"cluster","n_cells","marker_type","singler_main","main_agreement","singler_fine","fine_agreement","concordant","adopted","low_consensus","frac_lowconf","ref_cell_type"
"1",9328,"T_cell","CD8+ T cells",0.412,"Effector memory CD8 T cells",0.255,TRUE,TRUE,TRUE,0,"Effector memory CD8 T cells"
"2",6317,"T_cell","CD4+ T cells",0.706,"T regulatory cells",0.198,TRUE,TRUE,TRUE,0,"T regulatory cells"
"3",4767,"Myeloid","Monocytes",0.663,"Intermediate monocytes",0.402,TRUE,TRUE,TRUE,0,"Intermediate monocytes"
"4",4632,"Myeloid","Monocytes",0.572,"Intermediate monocytes",0.397,TRUE,TRUE,TRUE,0,"Intermediate monocytes"
"5",3979,"Intercalated","Monocytes",0.204,"Myeloid dendritic cells",0.099,FALSE,FALSE,TRUE,0,"Intercalated"
"6",3949,"Stroma_mural","CD4+ T cells",0.297,"Naive CD4 T cells",0.136,FALSE,FALSE,TRUE,0,"Stroma_mural"
"7",3034,"Stroma_mural","CD4+ T cells",0.188,"Low-density basophils",0.168,FALSE,FALSE,TRUE,0,"Stroma_mural"
"8",2913,"T_cell","CD8+ T cells",0.298,"Effector memory CD8 T cells",0.14,TRUE,TRUE,TRUE,0,"Effector memory CD8 T cells"
"9",2827,"Stroma_mural","CD4+ T cells",0.284,"Progenitor cells",0.094,FALSE,FALSE,TRUE,0,"Stroma_mural"
"10",2643,"Endothelial","Progenitors",0.548,"Progenitor cells",0.548,FALSE,FALSE,FALSE,0,"Endothelial"
"11",2503,"Tumor_RCC","Monocytes",0.347,"Intermediate monocytes",0.141,FALSE,FALSE,TRUE,0,"Tumor_RCC"
"12",2335,"Stroma_mural","CD4+ T cells",0.44,"Naive CD4 T cells",0.169,FALSE,FALSE,TRUE,0,"Stroma_mural"
"13",1776,"NK_cell","T cells",0.242,"Natural killer cells",0.193,TRUE,TRUE,TRUE,0,"Natural killer cells"
"14",1733,"Myeloid","Dendritic cells",0.533,"Myeloid dendritic cells",0.522,TRUE,TRUE,FALSE,0,"Myeloid dendritic cells"
"15",1410,"Plasma","B cells",0.55,"Plasmablasts",0.468,TRUE,TRUE,TRUE,0,"Plasmablasts"
"16",1019,"B_cell","B cells",0.535,"Switched memory B cells",0.143,TRUE,TRUE,TRUE,0,"Switched memory B cells"
"17",707,"Stroma_mural","Progenitors",0.273,"Progenitor cells",0.273,FALSE,FALSE,TRUE,0,"Stroma_mural"
"18",443,"Mast","Basophils",0.472,"Low-density basophils",0.472,FALSE,FALSE,TRUE,0,"Mast"
"19",189,"DC","CD4+ T cells",0.354,"Myeloid dendritic cells",0.175,TRUE,TRUE,TRUE,0,"Myeloid dendritic cells"
