"metric","target_pct","treg_pct","cd8_pct","global_pct","target_mean","treg_mean","cd8_mean"
"LAMP3",0.947,0.073,0.066,0.067,6.04,0.4,0.34
"CCR7",0.799,0.264,0.072,0.098,5.03,1.47,0.37
"CD83",0.741,0.098,0.137,0.125,4.51,0.52,0.7
"CD3",0.561,0.939,0.975,0.663,1.4,3.8,4.09
"FOXP3",0.011,0.223,0.049,0.062,0.05,1.27,0.25
"IL2RA",0.169,0.216,0.29,0.251,0.92,1.19,1.53
"CTLA4",0.233,0.388,0.49,0.24,1.24,2.24,2.62
"SELL",0.101,0.325,0.094,0.121,0.53,1.84,0.48
"IL7R",0.741,0.785,0.215,0.312,4.66,5.02,1.15
"GZMB",0.042,0.035,0.173,0.076,0.24,0.19,0.9
"PRF1",0.09,0.091,0.269,0.127,0.49,0.49,1.4
"NKG7",0.153,0.106,0.626,0.247,0.81,0.58,3.45
"GZMK",0.196,0.296,0.881,0.391,1.09,1.68,5.24
"CD4",0.222,0.351,0.262,0.287,1.16,1.94,1.36
"CD8A",0.122,0.198,0.806,0.323,0.65,1.11,4.68
