slide,condition,gene,n_in,n_out,mean_in,mean_out,log2_in_vs_out
SP19_1139_R1080_S3,IV,CD163,15,2003,3.069,3.451,-0.169
SP19_1139_R1080_S3,IV,C1QC,15,2003,4.802,4.24,0.18
SP19_1139_R1080_S3,IV,C1QB,15,2003,4.329,3.22,0.427
SP19_1139_R1080_S3,IV,C1QA,15,2003,4.416,3.579,0.303
SP19_1139_R1080_S3,IV,LYZ,15,2003,1.414,1.707,-0.272
SP19_1139_R1080_S3,IV,MRC1,15,2003,1.349,0.946,0.512
SP19_1139_R1080_S3,IV,HLA-DRA,15,2003,4.499,3.9,0.206
SP19_1139_R1080_S3,IV,CD68,15,2003,3.837,3.169,0.276
SP19_1139_R1080_S3,IV,MERTK,15,2003,0.534,1.403,-1.394
SP19_1139_R1080_S3,IV,CD74,15,2003,5.951,5.476,0.12
SP19_1139_R1080_S3,IV,S100A8,15,2003,0.415,0.261,0.67
SP19_4061_R1087_S1,IV,CD163,25,615,2.814,2.308,0.286
SP19_4061_R1087_S1,IV,C1QC,25,615,3.008,3.071,-0.03
SP19_4061_R1087_S1,IV,C1QB,25,615,3.258,2.38,0.453
SP19_4061_R1087_S1,IV,C1QA,25,615,2.91,2.992,-0.04
SP19_4061_R1087_S1,IV,LYZ,25,615,2.616,1.993,0.392
SP19_4061_R1087_S1,IV,MRC1,25,615,0.886,0.463,0.937
SP19_4061_R1087_S1,IV,HLA-DRA,25,615,3.91,3.616,0.113
SP19_4061_R1087_S1,IV,CD68,25,615,2.918,2.572,0.182
SP19_4061_R1087_S1,IV,MERTK,25,615,0.869,0.783,0.149
SP19_4061_R1087_S1,IV,CD74,25,615,6.107,5.447,0.165
SP19_4061_R1087_S1,IV,S100A8,25,615,0.323,0.402,-0.314
SP20_10838_R1080_S1,III,CD163,50,1159,2.143,2.476,-0.209
SP20_10838_R1080_S1,III,C1QC,50,1159,2.64,2.985,-0.177
SP20_10838_R1080_S1,III,C1QB,50,1159,2.112,2.058,0.038
SP20_10838_R1080_S1,III,C1QA,50,1159,2.625,2.454,0.097
SP20_10838_R1080_S1,III,LYZ,50,1159,1.438,1.364,0.076
SP20_10838_R1080_S1,III,MRC1,50,1159,0.878,0.714,0.298
SP20_10838_R1080_S1,III,HLA-DRA,50,1159,3.666,3.904,-0.09
SP20_10838_R1080_S1,III,CD68,50,1159,1.647,2.295,-0.479
SP20_10838_R1080_S1,III,MERTK,50,1159,0.683,1.003,-0.555
SP20_10838_R1080_S1,III,CD74,50,1159,5.305,5.323,-0.005
SP20_10838_R1080_S1,III,S100A8,50,1159,0.187,0.244,-0.378
SP20_642_R1080_S3,IV+V,CD163,135,543,2.832,2.913,-0.041
SP20_642_R1080_S3,IV+V,C1QC,135,543,4.848,3.855,0.331
SP20_642_R1080_S3,IV+V,C1QB,135,543,4.62,3.295,0.487
SP20_642_R1080_S3,IV+V,C1QA,135,543,5.171,3.385,0.611
SP20_642_R1080_S3,IV+V,LYZ,135,543,2.332,1.435,0.701
SP20_642_R1080_S3,IV+V,MRC1,135,543,0.555,0.755,-0.444
SP20_642_R1080_S3,IV+V,HLA-DRA,135,543,5.02,3.577,0.489
SP20_642_R1080_S3,IV+V,CD68,135,543,3.374,2.515,0.424
SP20_642_R1080_S3,IV+V,MERTK,135,543,0.7,0.844,-0.27
SP20_642_R1080_S3,IV+V,CD74,135,543,6.001,5.14,0.223
SP20_642_R1080_S3,IV+V,S100A8,135,543,0.142,0.29,-1.031
SP21_213_R1080_S1,III,CD163,369,2416,3.683,3.767,-0.033
SP21_213_R1080_S1,III,C1QC,369,2416,4.901,4.505,0.121
SP21_213_R1080_S1,III,C1QB,369,2416,4.122,4.009,0.04
SP21_213_R1080_S1,III,C1QA,369,2416,4.47,4.23,0.079
SP21_213_R1080_S1,III,LYZ,369,2416,1.444,1.52,-0.073
SP21_213_R1080_S1,III,MRC1,369,2416,1.035,1.084,-0.067
SP21_213_R1080_S1,III,HLA-DRA,369,2416,3.293,2.72,0.275
SP21_213_R1080_S1,III,CD68,369,2416,3.36,3.124,0.105
SP21_213_R1080_S1,III,MERTK,369,2416,1.3,1.377,-0.083
SP21_213_R1080_S1,III,CD74,369,2416,5.112,4.729,0.113
SP21_213_R1080_S1,III,S100A8,369,2416,0.443,0.362,0.291
