gene,group,det_myeloid,mean_myeloid,mean_ambient,log2_enrich_vs_ambient,usable
CD163,myeloid,0.638,2.995,0.349,3.1,True
C1QC,myeloid,0.716,3.643,0.555,2.72,True
C1QB,myeloid,0.623,2.975,0.463,2.68,True
C1QA,myeloid,0.682,3.331,0.567,2.56,True
LYZ,myeloid,0.372,1.607,0.276,2.54,True
MRC1,myeloid,0.223,0.895,0.198,2.17,True
HLA-DRA,myeloid,0.691,3.281,0.744,2.14,True
CD68,myeloid,0.6,2.712,0.641,2.08,True
MERTK,myeloid,0.256,1.016,0.272,1.9,True
CD74,myeloid,0.915,5.072,1.785,1.51,True
S100A8,myeloid,0.09,0.362,0.164,1.14,True
CXCL12,chemokine,0.307,1.282,0.668,0.94,False
MX1,ifn,0.4,1.672,0.923,0.86,False
CCL2,chemokine,0.15,0.624,0.425,0.55,False
STAT1,ifn,0.263,1.037,0.755,0.46,False
S100A9,myeloid,0.232,0.945,0.702,0.43,False
CXCL9,myeloid,0.104,0.404,0.301,0.42,False
IL1B,myeloid,0.078,0.302,0.24,0.33,False
CSF1,chemokine,0.164,0.614,0.541,0.18,False
CXCL10,myeloid,0.078,0.3,0.27,0.15,False
SPP1,myeloid,0.283,1.265,1.941,-0.62,False
