metric,value
mregDC x CCR7+ T,90.47869793364424
B x T regulatory cells,27.571954701875207
B x mregDC,-3.954163620049346
B x CCR7+ T (naive/CM),-5.634738794478127
mregDC x EM-CD8,-12.01636833385997
B x CD8_T,-39.04427904253533
B x Plasmablasts,-56.693353604447736
B x Effector memory CD8 T cells,-117.10874382304561
BCMA+plasma x B,-30.80472600136739
BCMA-plasma x B,-47.41383953164948
"BCMA+ dist-to-B (um, median)",67.49955369464598
"BCMA- dist-to-B (um, median)",54.74835132104465
plasma BCMA+ fraction (>=2),0.23592637377401585
