dataset,aggregate,n_plasma,n_region,myeloid_frac_inside,myeloid_bg,myeloid_log2enrich,x,y
RCC_BIG,0,21,304,0.2368,0.2358,0.006,242.12626575288317,4583.74267578125
RCC_BIG,1,15,139,0.1511,0.2358,-0.642,99.59128239949544,4542.6474609375
RCC_BIG,2,13,261,0.2261,0.2358,-0.061,446.0656221829928,1042.8729952298677
RCC_BIG,3,14,279,0.2473,0.2358,0.069,497.12905665806363,851.5633239746094
RCC_BIG,4,60,836,0.244,0.2358,0.049,457.9220891316732,489.2663340250651
RCC_BIG,5,22,276,0.1377,0.2358,-0.776,171.05578301169655,798.6607610529119
RCC_BIG,6,11,198,0.2222,0.2358,-0.086,39.03973518718373,1333.787264737216
RCC_BIG,7,11,93,0.2366,0.2358,0.004,20.92863789471713,1215.0533336292613
RCC_BIG,8,22,323,0.192,0.2358,-0.297,2426.5031516335225,145.2666130065918
RCC_BIG,9,14,201,0.204,0.2358,-0.209,2280.4014718191966,28.54044246673584
RCC_BIG,10,19,209,0.1627,0.2358,-0.536,2384.2592259457238,360.96557777806333
RCC_BIG,11,15,346,0.1647,0.2358,-0.518,1836.6618733723958,284.0782796223958
RCC_BIG,12,20,211,0.1754,0.2358,-0.427,3290.5415771484377,357.85271911621095
RCC_BIG,13,10,133,0.1955,0.2358,-0.271,3427.2462890625,192.84182586669922
RCC_BIG,14,30,478,0.2218,0.2358,-0.089,823.0973042805989,247.1992665608724
RCC_BIG,15,13,303,0.2178,0.2358,-0.115,958.0723313551682,182.4846414419321
RCC_BIG,16,22,383,0.2272,0.2358,-0.054,933.9896184747869,437.8228371360085
RCC_BIG,17,26,329,0.2523,0.2358,0.097,759.528559758113,605.1322279710037
RCC_BIG,18,13,403,0.2432,0.2358,0.044,1615.1634427584136,60.93810947124775
RCC_BIG,19,30,780,0.2321,0.2358,-0.023,9160.2587890625,299.3559875488281
RCC_BIG,20,123,1207,0.2146,0.2358,-0.136,9106.801654598577,1293.094689842162
RCC_BIG,21,56,1125,0.2471,0.2358,0.067,9310.379586356026,510.0683626447405
RCC_BIG,22,16,463,0.1922,0.2358,-0.295,8993.030883789062,230.55792140960693
RCC_BIG,23,104,980,0.2541,0.2358,0.108,8854.706373948316,1501.1145395132212
RCC_BIG,24,26,171,0.152,0.2358,-0.633,8708.063401442309,2607.147442157452
RCC_BIG,25,10,165,0.3212,0.2358,0.446,8657.87734375,2123.3471435546876
RCC_BIG,26,4425,10756,0.1607,0.2358,-0.554,9727.987940722105,3860.8248397223692
RCC_BIG,27,10,76,0.2368,0.2358,0.006,8990.953515625,3546.8932861328126
RCC_BIG,28,226,934,0.2355,0.2358,-0.002,9026.570524232577,3208.5588141247235
RCC_BIG,29,18,187,0.2674,0.2358,0.181,8872.465386284723,5445.562771267361
RCC_BIG,30,156,734,0.2534,0.2358,0.104,9040.472950470754,4204.074757111378
RCC_BIG,31,38,255,0.2784,0.2358,0.24,8706.962222450658,4108.714162726152
RCC_BIG,32,236,1558,0.2567,0.2358,0.123,8515.349224543168,5429.433560646186
RCC_BIG,33,11,213,0.3005,0.2358,0.349,8686.562855113636,4465.412198153409
RCC_BIG,34,18,165,0.2848,0.2358,0.272,8842.488335503473,3212.3299560546875
RCC_BIG,35,15,219,0.3699,0.2358,0.649,8908.862630208334,2083.10166015625
RCC_BIG,36,57,418,0.2081,0.2358,-0.18,9026.604749177632,2522.5782235128836
RCC_BIG,37,54,837,0.2712,0.2358,0.202,9196.270869502316,1552.4010936595776
RCC_BIG,38,105,449,0.1849,0.2358,-0.351,9414.1283203125,4331.90574311756
RCC_BIG,39,644,2746,0.2185,0.2358,-0.11,9578.983167944487,3132.0058999387375
RCC_BIG,40,41,336,0.2798,0.2358,0.246,9227.206769245427,1999.4352550971798
RCC_BIG,41,128,724,0.3025,0.2358,0.359,9432.365013122559,1922.407322883606
RCC_BIG,42,24,233,0.3691,0.2358,0.646,9069.840942382812,1636.9232889811199
RCC_BIG,43,116,930,0.314,0.2358,0.413,8709.897865032328,1637.9498291015625
RCC_BIG,44,33,276,0.1667,0.2358,-0.501,8827.50458688447,1080.639931418679
RCC_BIG,45,27,491,0.1527,0.2358,-0.627,8742.61302806713,1260.5604971426505
RCC_BIG,46,296,1759,0.2786,0.2358,0.24,8367.526914854307,1710.818719399942
RCC_BIG,47,143,547,0.2048,0.2358,-0.204,8518.816932091346,2852.4313862407125
RCC_BIG,48,47,217,0.212,0.2358,-0.154,8541.290246841756,3059.947021484375
RCC_BIG,49,12,75,0.3067,0.2358,0.379,8619.562744140625,2526.272420247396
RCC_BIG,50,36,251,0.243,0.2358,0.043,8470.317545572916,5192.931898328993
RCC_BIG,51,63,707,0.3083,0.2358,0.387,8472.280676463293,4592.2802811879965
RCC_BIG,52,20,536,0.1996,0.2358,-0.24,8498.11953125,1471.2073486328125
RCC_BIG,53,13,335,0.1433,0.2358,-0.719,8433.802884615385,1242.181387094351
RCC_BIG,54,22,215,0.186,0.2358,-0.342,11101.157492897728,1728.4297707297585
RCC_BIG,55,117,1640,0.1805,0.2358,-0.386,11137.547909989316,2160.6627113798745
RCC_BIG,56,33,209,0.3589,0.2358,0.606,11426.95244436553,2928.1540971235795
RCC_BIG,57,31,447,0.2975,0.2358,0.335,11413.504032258064,3602.7262474798385
RCC_BIG,58,26,106,0.1981,0.2358,-0.251,11454.160081129809,3111.1881103515625
RCC_BIG,59,13,94,0.2553,0.2358,0.115,11437.39092548077,4914.1936598557695
RCC_BIG,60,12,146,0.2329,0.2358,-0.018,11400.795166015625,4582.8891194661455
RCC_BIG,61,12,106,0.1604,0.2358,-0.556,11127.994547526041,4851.113850911458
RCC_BIG,62,29,222,0.1486,0.2358,-0.666,11006.9052734375,5585.102555899784
RCC_BIG,63,15,152,0.2039,0.2358,-0.21,11036.9716796875,4493.129329427084
RCC_BIG,64,10,231,0.2814,0.2358,0.255,11137.99365234375,3629.9883056640624
RCC_BIG,65,31,433,0.2148,0.2358,-0.135,11424.680160030242,2210.819887222782
RCC_BIG,66,84,657,0.2983,0.2358,0.339,11379.935709635416,2394.407674153646
RCC_BIG,67,36,259,0.3514,0.2358,0.575,11393.132297092014,2616.2102322048613
RCC_BIG,68,14,241,0.3029,0.2358,0.361,11236.43422154018,2609.377668108259
RCC_BIG,69,42,562,0.2936,0.2358,0.316,11252.276948474702,3511.5412248883927
RCC_BIG,70,34,468,0.2521,0.2358,0.096,10996.13849954044,2353.5103759765625
RCC_BIG,71,53,444,0.3536,0.2358,0.584,11064.082381338443,2757.670893831073
RCC_BIG,72,24,175,0.32,0.2358,0.44,11161.203165690104,3010.0076192220054
RCC_BIG,73,98,1074,0.2104,0.2358,-0.164,10420.580406967474,1163.3161944953763
RCC_BIG,74,26,257,0.1868,0.2358,-0.336,10329.461087740385,1706.0911724384014
RCC_BIG,75,311,3298,0.2022,0.2358,-0.222,10600.524746910169,2133.8622901646654
